20201013002554,192.168.67.2,5001,100.100.100.10,47062,4,0.0-10.0,5562872,4450297
20201013002554,192.168.67.2,5001,100.100.100.10,47064,5,0.0-10.0,5589920,4471936
20201013002554,192.168.67.2,5001,100.100.100.10,47066,6,0.0-10.0,4747568,3798054
20201013002554,192.168.67.2,0,100.100.100.10,0,-1,0.0-10.0,15900360,12720288
20201013002604,192.168.67.2,5001,100.100.100.10,47062,4,10.0-20.0,5020624,4016499
20201013002604,192.168.67.2,5001,100.100.100.10,47066,6,10.0-20.0,5726448,4581158
20201013002604,192.168.67.2,5001,100.100.100.10,47064,5,10.0-20.0,6512128,5209702
20201013002604,192.168.67.2,0,100.100.100.10,0,-1,10.0-20.0,17259200,13807360
20201013002614,192.168.67.2,5001,100.100.100.10,47062,4,20.0-30.0,5964728,4771782
20201013002614,192.168.67.2,5001,100.100.100.10,47064,5,20.0-30.0,6080648,4864518
20201013002614,192.168.67.2,5001,100.100.100.10,47066,6,20.0-30.0,5207384,4165907
20201013002614,192.168.67.2,0,100.100.100.10,0,-1,20.0-30.0,17252760,13802208
20201013002624,192.168.67.2,5001,100.100.100.10,47062,4,30.0-40.0,5240872,4192697
20201013002624,192.168.67.2,5001,100.100.100.10,47064,5,30.0-40.0,5252464,4201971
20201013002624,192.168.67.2,5001,100.100.100.10,47066,6,30.0-40.0,5735464,4588371
20201013002624,192.168.67.2,0,100.100.100.10,0,-1,30.0-40.0,16228800,12983040
20201013002634,192.168.67.2,5001,100.100.100.10,47064,5,40.0-50.0,5175184,4140147
20201013002634,192.168.67.2,5001,100.100.100.10,47066,6,40.0-50.0,5596360,4477088
20201013002634,192.168.67.2,5001,100.100.100.10,47062,4,40.0-50.0,5699400,4559520
20201013002634,192.168.67.2,0,100.100.100.10,0,-1,40.0-50.0,16470944,13176755
20201013002644,192.168.67.2,5001,100.100.100.10,47062,4,50.0-60.0,5829488,4663590
20201013002644,192.168.67.2,5001,100.100.100.10,47064,5,50.0-60.0,4926600,3941280
20201013002644,192.168.67.2,5001,100.100.100.10,47066,6,50.0-60.0,5731600,4585280
20201013002644,192.168.67.2,0,100.100.100.10,0,-1,50.0-60.0,16487688,13190150
20201013002654,192.168.67.2,5001,100.100.100.10,47064,5,60.0-70.0,6421968,5137574
20201013002654,192.168.67.2,5001,100.100.100.10,47066,6,60.0-70.0,5105632,4084505
20201013002654,192.168.67.2,5001,100.100.100.10,47062,4,60.0-70.0,6102544,4882035
20201013002654,192.168.67.2,0,100.100.100.10,0,-1,60.0-70.0,17630144,14104115
20201013002704,192.168.67.2,5001,100.100.100.10,47062,4,70.0-80.0,6298320,5038656
20201013002704,192.168.67.2,5001,100.100.100.10,47064,5,70.0-80.0,5243448,4194758
20201013002704,192.168.67.2,5001,100.100.100.10,47066,6,70.0-80.0,5628560,4502848
20201013002704,192.168.67.2,0,100.100.100.10,0,-1,70.0-80.0,17170328,13736262
20201013002714,192.168.67.2,5001,100.100.100.10,47062,4,80.0-90.0,5735464,4588371
20201013002714,192.168.67.2,5001,100.100.100.10,47064,5,80.0-90.0,5832064,4665651
20201013002714,192.168.67.2,5001,100.100.100.10,47066,6,80.0-90.0,5087600,4070080
20201013002714,192.168.67.2,0,100.100.100.10,0,-1,80.0-90.0,16655128,13324102
20201013002724,192.168.67.2,5001,100.100.100.10,47062,4,90.0-100.0,5701976,4561580
20201013002724,192.168.67.2,5001,100.100.100.10,47064,5,90.0-100.0,6320216,5056172
20201013002724,192.168.67.2,5001,100.100.100.10,47066,6,90.0-100.0,5680080,4544064
20201013002724,192.168.67.2,0,100.100.100.10,0,-1,90.0-100.0,17702272,14161817
20201013002734,192.168.67.2,5001,100.100.100.10,47064,5,100.0-110.0,5662048,4529638
20201013002734,192.168.67.2,5001,100.100.100.10,47066,6,100.0-110.0,5206096,4164876
20201013002734,192.168.67.2,5001,100.100.100.10,47062,4,100.0-110.0,5765088,4612070
20201013002734,192.168.67.2,0,100.100.100.10,0,-1,100.0-110.0,16633232,13306585
20201013002744,192.168.67.2,5001,100.100.100.10,47062,4,110.0-120.0,5522944,4418355
20201013002744,192.168.67.2,5001,100.100.100.10,47064,5,110.0-120.0,6151488,4921190
20201013002744,192.168.67.2,5001,100.100.100.10,47066,6,110.0-120.0,5376112,4300889
20201013002744,192.168.67.2,0,100.100.100.10,0,-1,110.0-120.0,17050544,13640435
20201013002754,192.168.67.2,5001,100.100.100.10,47062,4,120.0-130.0,5068280,4054624
20201013002754,192.168.67.2,5001,100.100.100.10,47064,5,120.0-130.0,6550768,5240614
20201013002754,192.168.67.2,5001,100.100.100.10,47066,6,120.0-130.0,5815320,4652256
20201013002754,192.168.67.2,0,100.100.100.10,0,-1,120.0-130.0,17434368,13947494
20201013002804,192.168.67.2,5001,100.100.100.10,47064,5,130.0-140.0,5569312,4455449
20201013002804,192.168.67.2,5001,100.100.100.10,47066,6,130.0-140.0,5148136,4118508
20201013002804,192.168.67.2,5001,100.100.100.10,47062,4,130.0-140.0,5821760,4657408
20201013002804,192.168.67.2,0,100.100.100.10,0,-1,130.0-140.0,16539208,13231366
20201013002814,192.168.67.2,5001,100.100.100.10,47064,5,140.0-150.0,5431496,4345196
20201013002814,192.168.67.2,5001,100.100.100.10,47066,6,140.0-150.0,5759936,4607948
20201013002814,192.168.67.2,5001,100.100.100.10,47062,4,140.0-150.0,6035568,4828454
20201013002814,192.168.67.2,0,100.100.100.10,0,-1,140.0-150.0,17227000,13781600
20201013002824,192.168.67.2,5001,100.100.100.10,47062,4,150.0-160.0,5589920,4471936
