# TimeStamp(s) Latency-avg(ms) Stdev
2970 26.666 6.721
2980 26.854 6.691
2990 26.768 6.665
3000 26.316 7.279
3010 26.105 7.021
3020 26.373 6.806
3030 27.034 6.681
3040 26.506 6.689
3050 26.756 6.899
3060 26.094 6.667
3070 25.743 7.103
3080 25.928 6.879
3090 25.408 6.702
3100 25.694 6.509
3110 25.463 6.712
3120 25.674 6.931
3130 26.455 6.937
3140 26.294 6.736
3150 26 6.167
3160 25.303 6.828
3170 24.924 6.935
3180 25.098 7.215
3190 25.461 6.859
3200 24.995 7.069
3210 25.196 6.938
3220 26.045 6.668
3230 25.564 7.079
3240 24.803 7.229
3250 24.74 7.168
3260 24.718 7.023
3270 24.982 6.722
3280 25.124 6.918
3290 24.776 6.467
3300 24.551 6.308
3310 24.45 6.575
3320 24.913 6.976
3330 24.929 7.261
3340 23.987 7.415
3350 24.307 7.032
3360 23.964 6.743
3370 24.556 6.671
3380 24.084 6.555
3390 23.957 7.081
3400 23.777 6.802
3410 23.444 6.867
3420 24.298 7.244
3430 24.606 6.738
3440 24.155 7.584
3450 23.997 7.247
3460 24.094 7.505
3470 24.092 7.157
3480 23.603 6.685
3490 23.625 7.14
3500 23.801 6.788
3510 23.412 6.581
3520 24.556 6.702
3530 24.674 6.981
3540 24.39 7.354
3550 24.135 7.351
3560 24.027 7.003
3570 24.221 7.078
3580 24.067 7.348
3590 24.066 6.91
3600 23.694 8.154
3610 23.579 7.211
3620 24.458 6.639
3630 24.189 7.446
3640 23.375 6.72
3650 24.142 7.211
3660 24.394 6.425
3670 23.959 6.182
3680 24.019 6.681
3690 23.834 5.851
3700 23.887 5.715
3710 23.634 6.117
3720 24.388 6.37
3730 24.061 6.126
3740 24.155 7.059
3750 24.155 6.542
3760 23.751 6.622
3770 22.636 6.86
3780 22.661 6.65
3790 23.925 7.139
3800 22.763 6.232
3810 23.094 6.059
3820 23.745 6.416
3830 24.392 5.94
3840 23.494 7.138
3850 23.229 6.797
3860 22.766 7.215
3870 22.666 6.949
3880 22.867 6.572
