20201013020953,100.100.100.10,5001,192.168.67.6,44266,7,0.0-10.0,4705064,3764051
20201013020953,100.100.100.10,5001,192.168.67.6,44262,4,0.0-10.0,7838768,6271014
20201013020953,100.100.100.10,5001,192.168.67.6,44264,5,0.0-10.0,7458808,5967046
20201013020953,100.100.100.10,0,192.168.67.6,0,-1,0.0-10.0,20002640,16002112
20201013021003,100.100.100.10,5001,192.168.67.6,44266,7,10.0-20.0,7206360,5765088
20201013021003,100.100.100.10,5001,192.168.67.6,44262,4,10.0-20.0,5808880,4647104
20201013021003,100.100.100.10,5001,192.168.67.6,44264,5,10.0-20.0,6903680,5522944
20201013021003,100.100.100.10,0,192.168.67.6,0,-1,10.0-20.0,19918920,15935136
20201013021013,100.100.100.10,5001,192.168.67.6,44266,7,20.0-30.0,6123152,4898521
20201013021013,100.100.100.10,5001,192.168.67.6,44262,4,20.0-30.0,7346752,5877401
20201013021013,100.100.100.10,5001,192.168.67.6,44264,5,20.0-30.0,7091728,5673382
20201013021013,100.100.100.10,0,192.168.67.6,0,-1,20.0-30.0,20561632,16449305
20201013021023,100.100.100.10,5001,192.168.67.6,44266,7,30.0-40.0,7086576,5669260
20201013021023,100.100.100.10,5001,192.168.67.6,44262,4,30.0-40.0,5114648,4091718
20201013021023,100.100.100.10,5001,192.168.67.6,44264,5,30.0-40.0,7840056,6272044
20201013021023,100.100.100.10,0,192.168.67.6,0,-1,30.0-40.0,20041280,16033024
20201013021033,100.100.100.10,5001,192.168.67.6,44266,7,40.0-50.0,6531448,5225158
20201013021033,100.100.100.10,5001,192.168.67.6,44262,4,40.0-50.0,6204296,4963436
20201013021033,100.100.100.10,5001,192.168.67.6,44264,5,40.0-50.0,7220528,5776422
20201013021033,100.100.100.10,0,192.168.67.6,0,-1,40.0-50.0,19956272,15965017
20201013021043,100.100.100.10,5001,192.168.67.6,44262,4,50.0-60.0,7444640,5955712
20201013021043,100.100.100.10,5001,192.168.67.6,44264,5,50.0-60.0,5450816,4360652
20201013021043,100.100.100.10,5001,192.168.67.6,44266,7,50.0-60.0,7115896,5692716
20201013021043,100.100.100.10,0,192.168.67.6,0,-1,50.0-60.0,20011352,16009081
20201013021053,100.100.100.10,5001,192.168.67.6,44266,7,60.0-70.0,4894704,3915763
20201013021053,100.100.100.10,5001,192.168.67.6,44262,4,60.0-70.0,8905232,7124185
20201013021053,100.100.100.10,5001,192.168.67.6,44264,5,60.0-70.0,5869416,4695532
20201013021053,100.100.100.10,0,192.168.67.6,0,-1,60.0-70.0,19669352,15735481
20201013021103,100.100.100.10,5001,192.168.67.6,44266,7,70.0-80.0,6321504,5057203
20201013021103,100.100.100.10,5001,192.168.67.6,44264,5,70.0-80.0,5488168,4390534
20201013021103,100.100.100.10,5001,192.168.67.6,44262,4,70.0-80.0,7975296,6380236
20201013021103,100.100.100.10,0,192.168.67.6,0,-1,70.0-80.0,19784968,15827974
20201013021113,100.100.100.10,5001,192.168.67.6,44266,7,80.0-90.0,7279776,5823820
20201013021113,100.100.100.10,5001,192.168.67.6,44262,4,80.0-90.0,5868128,4694502
20201013021113,100.100.100.10,5001,192.168.67.6,44264,5,80.0-90.0,6601000,5280800
20201013021113,100.100.100.10,0,192.168.67.6,0,-1,80.0-90.0,19748904,15799123
20201013021123,100.100.100.10,5001,192.168.67.6,44262,4,90.0-100.0,11060056,8848044
20201013021123,100.100.100.10,5001,192.168.67.6,44264,5,90.0-100.0,3878168,3102534
20201013021123,100.100.100.10,5001,192.168.67.6,44266,7,90.0-100.0,5006456,4005164
20201013021123,100.100.100.10,0,192.168.67.6,0,-1,90.0-100.0,19944680,15955744
20201013021133,100.100.100.10,5001,192.168.67.6,44264,5,100.0-110.0,5783120,4626496
20201013021133,100.100.100.10,5001,192.168.67.6,44266,7,100.0-110.0,6932016,5545612
20201013021133,100.100.100.10,5001,192.168.67.6,44262,4,100.0-110.0,7653296,6122636
20201013021133,100.100.100.10,0,192.168.67.6,0,-1,100.0-110.0,20368432,16294745
20201013021143,100.100.100.10,5001,192.168.67.6,44262,4,110.0-120.0,6580392,5264313
20201013021143,100.100.100.10,5001,192.168.67.6,44264,5,110.0-120.0,7304248,5843398
20201013021143,100.100.100.10,5001,192.168.67.6,44266,7,110.0-120.0,5868128,4694502
20201013021143,100.100.100.10,0,192.168.67.6,0,-1,110.0-120.0,19752768,15802214
20201013021153,100.100.100.10,5001,192.168.67.6,44266,7,120.0-130.0,5421192,4336953
20201013021153,100.100.100.10,5001,192.168.67.6,44262,4,120.0-130.0,6092240,4873792
20201013021153,100.100.100.10,5001,192.168.67.6,44264,5,120.0-130.0,7950824,6360659
20201013021153,100.100.100.10,0,192.168.67.6,0,-1,120.0-130.0,19464256,15571404
20201013021203,100.100.100.10,5001,192.168.67.6,44266,7,130.0-140.0,7565712,6052569
20201013021203,100.100.100.10,5001,192.168.67.6,44262,4,130.0-140.0,6528872,5223097
20201013021203,100.100.100.10,5001,192.168.67.6,44264,5,130.0-140.0,5676216,4540972
20201013021203,100.100.100.10,0,192.168.67.6,0,-1,130.0-140.0,19770800,15816640
20201013021213,100.100.100.10,5001,192.168.67.6,44266,7,140.0-150.0,6823824,5459059
20201013021213,100.100.100.10,5001,192.168.67.6,44262,4,140.0-150.0,6826400,5461120
20201013021213,100.100.100.10,5001,192.168.67.6,44264,5,140.0-150.0,6172096,4937676
20201013021213,100.100.100.10,0,192.168.67.6,0,-1,140.0-150.0,19822320,15857856
20201013021223,100.100.100.10,5001,192.168.67.6,44266,7,150.0-160.0,8250928,6600742
