# TimeStamp(s) Latency-avg(ms) Stdev
0 9.705 1.16
10 9.525 1.138
20 9.362 1.317
30 9.457 1.421
40 9.511 1.129
50 9.586 0.985
60 9.6 1.036
70 9.67 1.067
80 9.643 0.904
90 9.671 0.817
100 9.736 1.035
110 9.382 1.338
120 9.315 0.969
130 9.433 1.083
140 9.525 1.093
150 9.607 1.005
160 9.635 1
170 9.621 0.854
180 9.649 0.974
190 9.704 1.036
200 9.619 1.226
210 9.211 0.974
220 9.333 0.999
230 9.427 0.99
240 9.53 0.942
250 9.585 0.89
260 9.637 1.083
270 9.641 0.854
280 9.751 1.387
290 9.666 0.965
300 9.435 1.291
310 9.254 0.969
320 9.334 0.924
330 9.416 1.027
340 9.53 1.013
350 9.631 1.069
360 9.602 0.878
370 9.639 1.062
380 9.645 0.972
390 9.629 0.804
400 9.295 1.136
410 9.372 1.374
420 9.358 0.872
430 9.439 0.853
440 9.637 1.175
450 9.565 0.859
460 9.684 1.338
470 9.669 1.023
480 9.624 0.816
490 9.551 1.061
500 9.198 0.945
510 9.312 0.901
520 9.438 1.013
530 9.597 1.17
540 9.583 0.946
550 9.635 1.067
560 9.663 1.155
570 9.662 0.95
580 9.7 0.959
590 9.324 0.984
