"407430","8","-129","-17","-92","-6","2021-05-28 03:54:48"
"407431","8","-129","-17","-92","-6","2021-05-28 03:54:50"
"407432","8","-129","-17","-92","-6","2021-05-28 03:54:52"
"407433","8","-129","-17","-92","-6","2021-05-28 03:54:54"
"407434","8","-129","-17","-92","-7","2021-05-28 03:54:56"
"407435","8","-129","-17","-92","-7","2021-05-28 03:54:58"
"407436","8","-129","-17","-92","-6","2021-05-28 03:55:00"
"407437","8","-130","-18","-92","-6","2021-05-28 03:55:02"
"407438","8","-129","-17","-92","-7","2021-05-28 03:55:04"
"407439","8","-129","-17","-92","-6","2021-05-28 03:55:06"
"407440","8","-130","-18","-92","-6","2021-05-28 03:55:07"
"407441","8","-130","-17","-92","-6","2021-05-28 03:55:09"
"407442","8","-129","-16","-92","-6","2021-05-28 03:55:11"
"407443","8","-128","-17","-92","-6","2021-05-28 03:55:13"
"407444","8","-129","-17","-92","-6","2021-05-28 03:55:15"
"407445","8","-129","-17","-92","-6","2021-05-28 03:55:17"
"407446","8","-129","-17","-92","-6","2021-05-28 03:55:19"
"407447","8","-129","-17","-92","-6","2021-05-28 03:55:21"
"407448","8","-129","-17","-92","-6","2021-05-28 03:55:23"
"407449","8","-128","-16","-92","-5","2021-05-28 03:55:25"
"407450","8","-129","-17","-92","-6","2021-05-28 03:55:27"
"407451","8","-128","-16","-92","-6","2021-05-28 03:55:29"
"407452","8","-129","-17","-92","-6","2021-05-28 03:55:31"
"407453","8","-129","-17","-92","-6","2021-05-28 03:55:33"
"407454","8","-129","-17","-92","-6","2021-05-28 03:55:35"
"407455","8","-129","-17","-92","-6","2021-05-28 03:55:37"
"407456","8","-129","-17","-92","-6","2021-05-28 03:55:39"
"407457","8","-129","-17","-92","-6","2021-05-28 03:55:41"
"407458","8","-128","-16","-92","-6","2021-05-28 03:55:43"
"407459","8","-128","-16","-92","-6","2021-05-28 03:55:45"
"407460","8","-128","-16","-92","-6","2021-05-28 03:55:47"
"407461","8","-129","-17","-92","-6","2021-05-28 03:55:49"
"407462","8","-129","-17","-92","-6","2021-05-28 03:55:51"
"407463","8","-129","-17","-92","-6","2021-05-28 03:55:53"
"407464","8","-129","-17","-92","-6","2021-05-28 03:55:55"
"407465","8","-130","-18","-92","-7","2021-05-28 03:55:57"
"407466","8","-129","-18","-91","-6","2021-05-28 03:55:59"
"407467","8","-130","-18","-92","-7","2021-05-28 03:56:01"
"407468","8","-128","-16","-92","-6","2021-05-28 03:56:03"
"407469","8","-129","-17","-92","-6","2021-05-28 03:56:05"
"407470","8","-129","-17","-92","-6","2021-05-28 03:56:07"
"407471","8","-129","-17","-92","-6","2021-05-28 03:56:09"
"407472","8","-130","-18","-92","-7","2021-05-28 03:56:11"
"407473","8","-129","-18","-91","-7","2021-05-28 03:56:13"
"407474","8","-130","-18","-92","-7","2021-05-28 03:56:14"
"407475","8","-130","-18","-92","-7","2021-05-28 03:56:16"
"407476","8","-130","-18","-92","-7","2021-05-28 03:56:18"
"407477","8","-130","-18","-92","-7","2021-05-28 03:56:20"
"407478","8","-130","-18","-92","-7","2021-05-28 03:56:22"
"407479","8","-130","-18","-92","-7","2021-05-28 03:56:24"
"407480","8","-130","-18","-92","-7","2021-05-28 03:56:26"
"407481","8","-129","-17","-92","-7","2021-05-28 03:56:28"
"407482","8","-129","-17","-92","-7","2021-05-28 03:56:30"
"407483","8","-129","-17","-92","-6","2021-05-28 03:56:32"
"407484","8","-129","-17","-92","-6","2021-05-28 03:56:34"
"407485","8","-130","-18","-92","-7","2021-05-28 03:56:36"
"407486","8","-129","-17","-92","-6","2021-05-28 03:56:38"
"407487","8","-130","-18","-92","-6","2021-05-28 03:56:40"
"407488","8","-130","-18","-92","-6","2021-05-28 03:56:42"
"407489","8","-129","-17","-92","-6","2021-05-28 03:56:44"
"407490","8","-130","-18","-92","-7","2021-05-28 03:56:46"
"407491","8","-130","-18","-92","-7","2021-05-28 03:56:48"
"407492","8","-130","-18","-92","-7","2021-05-28 03:56:50"
"407493","8","-129","-17","-92","-6","2021-05-28 03:56:52"
"407494","8","-130","-18","-92","-7","2021-05-28 03:56:54"
"407495","8","-130","-18","-92","-7","2021-05-28 03:56:56"
"407496","8","-130","-18","-92","-6","2021-05-28 03:56:58"
"407497","8","-130","-18","-92","-6","2021-05-28 03:57:00"
"407498","8","-130","-18","-92","-7","2021-05-28 03:57:02"
"407499","8","-130","-18","-92","-7","2021-05-28 03:57:04"
"407500","8","-130","-18","-92","-7","2021-05-28 03:57:06"
"407501","8","-130","-18","-92","-7","2021-05-28 03:57:08"
"407502","8","-129","-17","-92","-7","2021-05-28 03:57:10"
"407503","8","-129","-17","-92","-6","2021-05-28 03:57:12"
"407504","8","-130","-18","-92","-7","2021-05-28 03:57:14"
"407505","8","-129","-17","-92","-6","2021-05-28 03:57:16"
"407506","8","-129","-17","-92","-7","2021-05-28 03:57:18"
"407507","8","-129","-17","-92","-6","2021-05-28 03:57:20"
"407508","8","-129","-17","-92","-7","2021-05-28 03:57:22"
"407509","8","-129","-17","-92","-6","2021-05-28 03:57:24"
"407510","8","-129","-18","-92","-7","2021-05-28 03:57:25"
"407511","8","-130","-18","-92","-6","2021-05-28 03:57:27"
"407512","8","-129","-17","-92","-7","2021-05-28 03:57:29"
"407513","8","-130","-18","-92","-6","2021-05-28 03:57:31"
