20201018010907,172.20.10.5,5002,172.20.10.8,34391,3,0.0-10.0,471870,377496,38.920,2198,0,0.000,845694235
20201018010907,172.20.10.5,5002,172.20.10.8,43958,4,0.0-10.0,515970,412776,40.525,2143,0,0.000,1016050804
20201018010907,172.20.10.5,5002,172.20.10.8,43242,5,0.0-10.0,498330,398664,40.602,2180,0,0.000,-1314577128
20201018010907,172.20.10.5,5002,172.20.10.8,34369,6,0.0-10.0,413070,330456,50.436,2213,0,0.000,-850727283
20201018010907,172.20.10.5,0,172.20.10.8,0,-1,0.0-10.0,1899240,1519392,50.436,8734,0,0.000,-1442793722
20201018010917,172.20.10.5,5002,172.20.10.8,34391,3,10.0-20.0,532140,425712,25.262,7952,0,0.000,1721293124
20201018010917,172.20.10.5,5002,172.20.10.8,43958,4,10.0-20.0,579180,463344,24.752,8015,0,0.000,2095641671
20201018010917,172.20.10.5,5002,172.20.10.8,43242,5,10.0-20.0,568890,455112,23.817,8074,0,0.000,-975136766
20201018010917,172.20.10.5,5002,172.20.10.8,34369,6,10.0-20.0,383670,306936,41.690,7934,0,0.000,469065983
20201018010917,172.20.10.5,0,172.20.10.8,0,-1,10.0-20.0,2063880,1651104,41.690,31975,0,0.000,23804456
20201018010927,172.20.10.5,5002,172.20.10.8,34391,3,20.0-30.0,720300,576240,25.862,224667,0,0.000,1790458304
20201018010927,172.20.10.5,5002,172.20.10.8,43958,4,20.0-30.0,743820,595056,25.502,224581,0,0.000,-667447081
20201018010927,172.20.10.5,5002,172.20.10.8,43242,5,20.0-30.0,733530,586824,25.599,224511,0,0.000,-1913943250
20201018010927,172.20.10.5,5002,172.20.10.8,34369,6,20.0-30.0,580650,464520,26.320,224906,0,0.000,-1973579231
20201018010927,172.20.10.5,0,172.20.10.8,0,-1,20.0-30.0,2778300,2222640,26.320,898665,0,0.000,2063389938
20201018010937,172.20.10.5,5002,172.20.10.8,34391,3,30.0-40.0,568890,455112,50.328,6223,0,0.000,-2053267270
20201018010937,172.20.10.5,5002,172.20.10.8,43958,4,30.0-40.0,608580,486864,53.001,6206,0,0.000,544980745
20201018010937,172.20.10.5,5002,172.20.10.8,43242,5,30.0-40.0,432180,345744,56.001,6137,0,0.000,-847506375
20201018010937,172.20.10.5,5002,172.20.10.8,34369,6,30.0-40.0,629160,503328,45.456,6304,0,0.000,-2010953196
20201018010937,172.20.10.5,0,172.20.10.8,0,-1,30.0-40.0,2238810,1791048,56.001,24870,0,0.000,-1594929507
20201018010947,172.20.10.5,5002,172.20.10.8,43242,5,40.0-50.0,536550,429240,55.332,6080,0,0.000,1772631964
20201018010947,172.20.10.5,5002,172.20.10.8,34391,3,40.0-50.0,642390,513912,49.276,5993,0,0.000,-200387277
20201018010947,172.20.10.5,5002,172.20.10.8,34369,6,40.0-50.0,732060,585648,49.800,5966,0,0.000,1105635146
20201018010947,172.20.10.5,5002,172.20.10.8,43958,4,40.0-50.0,693840,555072,57.989,5586,0,0.000,-2074459278
20201018010947,172.20.10.5,0,172.20.10.8,0,-1,40.0-50.0,2604840,2083872,57.989,23625,0,0.000,-2053372166
20201018010957,172.20.10.5,5002,172.20.10.8,34391,3,50.0-60.0,612990,490392,41.059,6039,0,0.000,-95798527
20201018010957,172.20.10.5,5002,172.20.10.8,43958,4,50.0-60.0,643860,515088,29.517,6010,0,0.000,-1289555938
20201018010957,172.20.10.5,5002,172.20.10.8,43242,5,50.0-60.0,540960,432768,38.536,5897,0,0.000,-89121428
20201018010957,172.20.10.5,5002,172.20.10.8,34369,6,50.0-60.0,654150,523320,42.452,6108,0,0.000,-799612407
20201018010957,172.20.10.5,0,172.20.10.8,0,-1,50.0-60.0,2451960,1961568,42.452,24054,0,0.000,1404605586
20201018011007,172.20.10.5,5002,172.20.10.8,43958,4,60.0-70.0,585060,468048,37.396,101395,0,0.000,116368707
20201018011007,172.20.10.5,5002,172.20.10.8,43242,5,60.0-70.0,565950,452760,45.032,86701,0,0.000,-991404274
20201018011007,172.20.10.5,5002,172.20.10.8,34391,3,60.0-70.0,607110,485688,39.538,96848,0,0.000,-636908044
20201018011007,172.20.10.5,5002,172.20.10.8,34369,6,60.0-70.0,608580,486864,37.976,93067,0,0.000,24626421
20201018011007,172.20.10.5,0,172.20.10.8,0,-1,60.0-70.0,2366700,1893360,45.032,378011,0,0.000,1836562641
20201018011017,172.20.10.5,5002,172.20.10.8,34391,3,70.0-80.0,573300,458640,52.396,5952,0,0.000,-321005124
20201018011017,172.20.10.5,5002,172.20.10.8,43958,4,70.0-80.0,558600,446880,40.301,6067,0,0.000,824084775
20201018011017,172.20.10.5,5002,172.20.10.8,43242,5,70.0-80.0,518910,415128,48.414,6269,0,0.000,-1922422692
20201018011017,172.20.10.5,5002,172.20.10.8,34369,6,70.0-80.0,548310,438648,45.866,6094,0,0.000,1217361227
20201018011017,172.20.10.5,0,172.20.10.8,0,-1,70.0-80.0,2199120,1759296,52.396,24382,0,0.000,-1930229139
20201018011027,172.20.10.5,5002,172.20.10.8,34391,3,80.0-90.0,649740,519792,49.513,5288,0,0.000,1341708806
20201018011027,172.20.10.5,5002,172.20.10.8,34369,6,80.0-90.0,585060,468048,47.012,5481,0,0.000,-1575819775
20201018011027,172.20.10.5,5002,172.20.10.8,43958,4,80.0-90.0,626220,500976,55.569,5154,0,0.000,-646554217
20201018011027,172.20.10.5,5002,172.20.10.8,43242,5,80.0-90.0,586530,469224,43.891,5179,0,0.000,-1780201576
