------------------------------------------------------------
Server listening on UDP port 5001 with pid 57397
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.4 port 5001 connected with 100.100.100.10 port 34547
[  4] local 192.168.67.4 port 5001 connected with 100.100.100.10 port 38811
[  5] local 192.168.67.4 port 5001 connected with 100.100.100.10 port 57723
[  6] local 192.168.67.4 port 5001 connected with 100.100.100.10 port 57017
[  7] local 192.168.67.4 port 5001 connected with 100.100.100.10 port 50566
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  7] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.135 ms    0/  892 (0%)  9.707/ 7.326/20.533/ 3.009 ms   89 pps  13.51
[SUM] 40.0000-50.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.876 ms    0/  891 (0%)  9.833/ 7.281/19.936/ 2.979 ms   89 pps  13.32
[  4] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.859 ms    0/  891 (0%)  9.828/ 7.358/19.936/ 2.992 ms   89 pps  13.33
[  5] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.873 ms    0/  891 (0%)  9.842/ 7.358/19.936/ 2.995 ms   89 pps  13.31
[  6] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.808 ms    0/  891 (0%)  9.844/ 7.374/19.936/ 2.997 ms   89 pps  13.31
[  7] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.854 ms    0/  891 (0%)  9.835/ 7.332/19.812/ 2.992 ms   89 pps  13.32
[SUM] 50.0000-60.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.648 ms    0/  892 (0%)  9.913/ 7.428/28.489/ 3.142 ms   89 pps  13.23
[  4] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.609 ms    0/  892 (0%)  9.871/ 7.365/28.489/ 3.118 ms   89 pps  13.28
[  5] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.657 ms    0/  892 (0%)  9.918/ 7.446/28.490/ 3.118 ms   89 pps  13.22
[  6] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.640 ms    0/  892 (0%)  9.921/ 7.420/28.489/ 3.139 ms   89 pps  13.22
[  7] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.644 ms    0/  892 (0%)  9.896/ 7.428/28.366/ 3.141 ms   89 pps  13.25
[SUM] 60.0000-70.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.819 ms    0/  892 (0%)  9.912/ 7.485/24.527/ 3.085 ms   89 pps  13.23
[  4] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.883 ms    0/  892 (0%)  9.870/ 7.314/19.519/ 3.039 ms   89 pps  13.29
[  5] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.868 ms    0/  892 (0%)  9.899/ 7.421/19.489/ 3.048 ms   89 pps  13.25
[  6] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.903 ms    0/  892 (0%)  9.888/ 7.348/24.645/ 3.063 ms   89 pps  13.26
