------------------------------------------------------------
Server listening on UDP port 5001 with pid 1752
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 51655
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 33567
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37758
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 41594
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 54039
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  7] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.781 ms    0/  892 (0%) 15.881/13.149/28.853/ 3.180 ms   89 pps  8.26
[SUM] 50.0000-60.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.730 ms    0/  891 (0%) 15.695/13.151/26.473/ 3.128 ms   89 pps  8.35
[  4] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.762 ms    0/  891 (0%) 15.707/13.140/26.473/ 3.137 ms   89 pps  8.34
[  5] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.758 ms    0/  891 (0%) 15.701/13.131/26.474/ 3.127 ms   89 pps  8.34
[  6] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.753 ms    0/  891 (0%) 15.683/13.131/26.472/ 3.123 ms   89 pps  8.35
[  7] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.739 ms    0/  891 (0%) 15.718/13.287/26.409/ 3.152 ms   89 pps  8.33
[SUM] 60.0000-70.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.592 ms    0/  892 (0%) 15.790/13.262/26.258/ 3.064 ms   89 pps  8.30
[  4] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.298 ms    0/  892 (0%) 15.761/13.338/26.375/ 3.050 ms   89 pps  8.32
[  5] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.602 ms    0/  892 (0%) 15.788/13.363/26.377/ 3.049 ms   89 pps  8.31
[  6] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.296 ms    0/  892 (0%) 15.763/13.202/26.377/ 3.050 ms   89 pps  8.32
[  7] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.633 ms    0/  892 (0%) 15.791/13.273/26.376/ 3.061 ms   89 pps  8.30
[SUM] 70.0000-80.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.996 ms    0/  892 (0%) 15.935/13.419/28.291/ 3.182 ms   89 pps  8.23
[  4] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.116 ms    0/  892 (0%) 15.961/13.339/28.167/ 3.224 ms   89 pps  8.22
[  5] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.123 ms    0/  892 (0%) 15.937/13.338/26.662/ 3.178 ms   89 pps  8.23
