------------------------------------------------------------
Server listening on UDP port 5001 with pid 57295
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.4 port 5001 connected with 100.100.100.10 port 33627
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.920 ms    0/  892 (0%)  8.234/ 6.851/13.653/ 0.922 ms   89 pps  15.92
[  3] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.909 ms    0/  892 (0%)  8.307/ 6.785/18.258/ 0.958 ms   89 pps  15.78
[  3] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.002 ms    0/  892 (0%)  8.336/ 6.936/21.421/ 1.065 ms   89 pps  15.73
[  3] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.080 ms    0/  891 (0%)  8.235/ 6.330/23.049/ 1.072 ms   89 pps  15.91
[  3] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.231 ms    0/  892 (0%)  7.879/ 6.447/17.752/ 1.027 ms   89 pps  16.64
[  3] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.110 ms    0/  891 (0%)  7.971/ 6.515/18.786/ 1.002 ms   89 pps  16.43
[  3] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.894 ms    0/  892 (0%)  8.039/ 6.607/20.780/ 0.969 ms   89 pps  16.31
[  3] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.001 ms    0/  892 (0%)  8.175/ 6.706/16.653/ 0.949 ms   89 pps  16.04
[  3] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.191 ms    0/  891 (0%)  8.244/ 6.848/21.760/ 1.017 ms   89 pps  15.89
[  3] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.922 ms    0/  892 (0%)  8.297/ 7.000/21.857/ 1.158 ms   89 pps  15.80
[  3] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.943 ms    0/  892 (0%)  8.324/ 6.908/21.984/ 1.104 ms   89 pps  15.75
[  3] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.105 ms    0/  891 (0%)  8.274/ 6.873/12.797/ 0.847 ms   89 pps  15.83
[  3] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.928 ms    0/  892 (0%)  8.297/ 6.753/12.323/ 0.820 ms   89 pps  15.80
[  3] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.023 ms    0/  892 (0%)  8.134/ 6.400/16.283/ 0.920 ms   89 pps  16.12
[  3] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.013 ms    0/  891 (0%)  7.911/ 6.482/21.187/ 1.132 ms   89 pps  16.56
[  3] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.021 ms    0/  892 (0%)  8.000/ 6.549/20.918/ 1.105 ms   89 pps  16.39
[  3] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.050 ms    0/  892 (0%)  8.069/ 6.669/17.142/ 0.957 ms   89 pps  16.25
[  3] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.985 ms    0/  891 (0%)  8.225/ 6.865/18.999/ 0.953 ms   89 pps  15.92
[  3] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.026 ms    0/  892 (0%)  8.273/ 6.851/20.981/ 1.116 ms   89 pps  15.85
[  3] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.997 ms    0/  892 (0%)  8.502/ 6.737/68.365/ 3.265 ms   89 pps  15.42
[  3] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.991 ms    0/  891 (0%)  8.279/ 6.836/19.243/ 0.960 ms   89 pps  15.82
[  3] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.991 ms    0/  892 (0%)  8.339/ 6.920/21.331/ 1.057 ms   89 pps  15.72
[  3] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.908 ms    0/  891 (0%)  8.346/ 6.884/21.538/ 0.993 ms   89 pps  15.69
[  3] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.917 ms    0/  892 (0%)  7.982/ 6.501/18.870/ 1.017 ms   89 pps  16.43
[  3] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.013 ms    0/  892 (0%)  7.909/ 6.516/18.973/ 0.950 ms   89 pps  16.58
[  3] 250.0000-260.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.332 ms    0/  891 (0%)  8.049/ 6.660/22.021/ 1.116 ms   89 pps  16.27
[  3] 260.0000-270.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.125 ms    0/  892 (0%)  8.064/ 6.742/10.353/ 0.864 ms   89 pps  16.26
[  3] 270.0000-280.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.939 ms    0/  892 (0%)  8.166/ 6.817/19.170/ 0.944 ms   89 pps  16.06
[  3] 280.0000-290.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.977 ms    0/  891 (0%)  8.259/ 6.712/17.306/ 0.966 ms   89 pps  15.86
[  3] 290.0000-300.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.926 ms    0/  892 (0%)  8.260/ 6.633/16.958/ 0.933 ms   89 pps  15.87
[  3] 300.0000-310.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.989 ms    0/  892 (0%)  8.277/ 6.916/13.630/ 0.857 ms   89 pps  15.84
[  3] 310.0000-320.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.040 ms    0/  891 (0%)  8.341/ 6.866/21.089/ 1.049 ms   89 pps  15.70
[  3] 320.0000-330.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.413 ms    0/  892 (0%)  8.364/ 6.458/22.136/ 1.220 ms   89 pps  15.68
