# TimeStamp(s) Latency-avg(ms) Stdev
0 8.234 0.922
10 8.307 0.958
20 8.336 1.065
30 8.235 1.072
40 7.879 1.027
50 7.971 1.002
60 8.039 0.969
70 8.175 0.949
80 8.244 1.017
90 8.297 1.158
100 8.324 1.104
110 8.274 0.847
120 8.297 0.82
130 8.134 0.92
140 7.911 1.132
150 8 1.105
160 8.069 0.957
170 8.225 0.953
180 8.273 1.116
190 8.502 3.265
200 8.279 0.96
210 8.339 1.057
220 8.346 0.993
230 7.982 1.017
240 7.909 0.95
250 8.049 1.116
260 8.064 0.864
270 8.166 0.944
280 8.259 0.966
290 8.26 0.933
300 8.277 0.857
310 8.341 1.049
320 8.364 1.22
330 7.909 1.071
340 7.951 0.983
350 8.03 0.97
360 8.174 1.201
370 8.285 1.244
380 8.26 0.899
390 8.289 1.013
400 8.303 0.99
410 8.315 0.887
420 8.248 0.966
430 7.86 0.886
440 8.006 1.134
450 8.083 1.015
460 8.158 0.922
470 8.254 0.965
480 8.276 0.866
490 8.297 0.982
500 8.314 0.988
510 8.356 0.939
520 8.127 0.972
530 7.869 0.881
540 7.999 0.875
550 8.112 1.128
560 8.18 0.946
570 8.229 0.86
580 8.328 1.27
590 8.275 0.91
