20201018082654,100.100.100.10,5004,192.168.67.5,59598,3,0.0-10.0,579180,463344,12.864,140,534,26.217,0
20201018082654,100.100.100.10,5004,192.168.67.5,48181,4,0.0-10.0,618870,495096,12.178,112,533,21.013,0
20201018082654,100.100.100.10,5004,192.168.67.5,52910,5,0.0-10.0,633570,506856,11.388,103,534,19.288,0
20201018082654,100.100.100.10,5004,192.168.67.5,55433,6,0.0-10.0,604170,483336,13.444,123,534,23.034,0
20201018082654,100.100.100.10,0,192.168.67.5,0,-1,0.0-10.0,2435790,1948632,13.444,478,2135,22.389,0
20201018082659,100.100.100.10,5004,192.168.67.5,59598,3,10.0-20.0,0,0,12.864,0,0,-nan,0
20201018082659,100.100.100.10,5004,192.168.67.5,48181,4,10.0-20.0,0,0,12.178,0,0,-nan,0
20201018082659,100.100.100.10,5004,192.168.67.5,52910,5,10.0-20.0,0,0,11.388,0,0,-nan,0
20201018082659,100.100.100.10,5004,192.168.67.5,55433,6,10.0-20.0,0,0,13.444,0,0,-nan,0
20201018082659,100.100.100.10,0,192.168.67.5,0,-1,10.0-20.0,0,0,13.444,0,0,-nan,0
20201018082709,100.100.100.10,5004,192.168.67.5,59598,3,20.0-30.0,707070,565656,20.921,172830,173311,99.722,0
20201018082709,100.100.100.10,5004,192.168.67.5,48181,4,20.0-30.0,720300,576240,20.363,172822,173312,99.717,0
20201018082709,100.100.100.10,5004,192.168.67.5,52910,5,20.0-30.0,736470,589176,16.215,172152,172653,99.710,0
20201018082709,100.100.100.10,5004,192.168.67.5,55433,6,20.0-30.0,714420,571536,20.791,172825,173311,99.720,0
20201018082709,100.100.100.10,0,192.168.67.5,0,-1,20.0-30.0,2878260,2302608,20.921,690629,692587,99.717,0
20201018082720,100.100.100.10,5004,192.168.67.5,59598,3,30.0-40.0,727650,582120,17.826,42005,42500,98.835,0
20201018082720,100.100.100.10,5004,192.168.67.5,48181,4,30.0-40.0,739410,591528,15.336,41998,42501,98.816,0
20201018082720,100.100.100.10,5004,192.168.67.5,52910,5,30.0-40.0,710010,568008,16.798,42675,43158,98.881,0
20201018082720,100.100.100.10,5004,192.168.67.5,55433,6,30.0-40.0,745290,596232,17.324,41994,42501,98.807,0
20201018082720,100.100.100.10,0,192.168.67.5,0,-1,30.0-40.0,2922360,2337888,17.826,168672,170660,98.835,0
20201018082730,100.100.100.10,5004,192.168.67.5,59598,3,40.0-50.0,0,0,17.826,0,0,-nan,0
20201018082730,100.100.100.10,5004,192.168.67.5,48181,4,40.0-50.0,0,0,15.336,0,0,-nan,0
20201018082730,100.100.100.10,5004,192.168.67.5,52910,5,40.0-50.0,0,0,16.798,0,0,-nan,0
20201018082730,100.100.100.10,5004,192.168.67.5,55433,6,40.0-50.0,0,0,17.324,0,0,-nan,0
20201018082730,100.100.100.10,0,192.168.67.5,0,-1,40.0-50.0,0,0,17.826,0,0,-nan,0
20201018082739,100.100.100.10,5004,192.168.67.5,48181,4,50.0-60.0,995190,796152,14.199,222183,222860,99.696,0
20201018082739,100.100.100.10,5004,192.168.67.5,55433,6,50.0-60.0,974610,779688,13.900,221127,221790,99.701,0
20201018082739,100.100.100.10,5004,192.168.67.5,59598,3,50.0-60.0,995190,796152,14.151,222230,222907,99.696,0
20201018082739,100.100.100.10,5004,192.168.67.5,52910,5,50.0-60.0,977550,782040,13.484,222434,223099,99.702,0
20201018082739,100.100.100.10,0,192.168.67.5,0,-1,50.0-60.0,3942540,3154032,14.199,887974,890656,99.699,0
20201018082746,100.100.100.10,5004,192.168.67.5,59598,3,0.0-66.3,4584930,553258,12.175,511976,515095,99.394,0
20201018082746,100.100.100.10,5004,192.168.67.5,48181,4,0.0-66.3,4654020,561601,12.151,511869,515035,99.385,0
20201018082746,100.100.100.10,5004,192.168.67.5,52910,5,0.0-66.3,4651080,561240,11.343,511989,515153,99.386,0
20201018082746,100.100.100.10,5004,192.168.67.5,55433,6,0.0-66.3,4630500,558757,12.168,510841,513991,99.387,0
20201018082746,100.100.100.10,0,192.168.67.5,0,-1,0.0-66.3,18520530,2234850,12.175,2046675,2059274,99.388,0
