# TestOK BufferSize(B) BW(b/s) Stdev(b/s) BW(Mb/s)
1 32 1.49584e+07 728770 14.9584
1 64 1.51525e+07 631174 15.1525
1 128 8.5219e+06 6.9355e+06 8.5219
