# TestOK BufferSize(B) BW(b/s) Stdev(b/s) BW(Mb/s)
1 32 1.32849e+07 2.02011e+06 13.2849
1 64 1.32931e+07 2.38257e+06 13.2931
1 128 1.32933e+07 801757 13.2933
