------------------------------------------------------------
Server listening on UDP port 5001 with pid 4909
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37527
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 530.0000-540.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.953 ms    0/  892 (0%)  2.555/ 1.011/15.417/ 1.330 ms   89 pps  51.32
[  3] 540.0000-550.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.868 ms    0/  891 (0%)  2.639/ 1.063/11.633/ 1.010 ms   89 pps  49.64
[  3] 550.0000-560.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.204 ms    0/  892 (0%)  3.133/ 1.173/88.011/ 5.068 ms   89 pps  41.86
[  3] 560.0000-570.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.981 ms    0/  892 (0%)  2.819/ 1.330/ 7.897/ 0.879 ms   89 pps  46.51
[  3] 570.0000-580.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.887 ms    0/  891 (0%)  2.964/ 1.469/19.792/ 1.230 ms   89 pps  44.19
[  3] 580.0000-590.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.017 ms    0/  892 (0%)  3.004/ 1.398/13.036/ 1.001 ms   89 pps  43.65
[  3] 590.0000-600.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.952 ms    0/  892 (0%)  2.916/ 1.256/13.646/ 1.035 ms   89 pps  44.96
[  3] 600.0000-610.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.031 ms    0/  891 (0%)  2.729/ 1.169/19.674/ 1.308 ms   89 pps  47.99
[  3] 610.0000-620.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.132 ms    0/  892 (0%)  2.909/ 1.443/16.090/ 1.104 ms   89 pps  45.08
[  3] 620.0000-630.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.111 ms    0/  892 (0%)  2.980/ 1.484/10.093/ 0.914 ms   89 pps  44.00
[  3] 630.0000-640.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.433 ms    0/  891 (0%)  3.155/ 1.669/14.185/ 1.040 ms   89 pps  41.52
[  3] 640.0000-650.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.957 ms    0/  892 (0%)  3.278/ 1.705/12.067/ 1.003 ms   89 pps  40.00
[  3] 650.0000-660.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.887 ms    0/  892 (0%)  3.269/ 1.708/13.863/ 1.082 ms   89 pps  40.11
[  3] 660.0000-670.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.282 ms    0/  891 (0%)  3.435/ 1.987/16.323/ 1.191 ms   89 pps  38.13
[  3] 670.0000-680.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.958 ms    0/  892 (0%)  3.498/ 1.892/16.415/ 1.109 ms   89 pps  37.49
[  3] 680.0000-690.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.888 ms    0/  891 (0%)  3.633/ 1.850/16.359/ 1.235 ms   89 pps  36.05
[  3] 690.0000-700.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.950 ms    0/  892 (0%)  3.301/ 1.598/12.867/ 0.985 ms   89 pps  39.72
[  3] 700.0000-710.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.013 ms    0/  892 (0%)  3.243/ 1.733/13.808/ 1.036 ms   89 pps  40.43
[  3] 710.0000-720.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.091 ms    0/  891 (0%)  3.427/ 1.742/16.285/ 1.157 ms   89 pps  38.22
[  3] 720.0000-730.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.140 ms    0/  892 (0%)  3.504/ 2.103/12.507/ 0.931 ms   89 pps  37.42
[  3] 730.0000-740.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.953 ms    0/  892 (0%)  3.737/ 2.179/16.179/ 1.276 ms   89 pps  35.09
[  3] 740.0000-750.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.463 ms    0/  891 (0%)  3.756/ 2.119/16.666/ 1.076 ms   89 pps  34.87
