20201018104306,192.168.67.3,5002,100.100.100.10,48404,4,0.0-10.0,20895224,16716179
20201018104316,192.168.67.3,5002,100.100.100.10,48404,4,10.0-20.0,16856056,13484844
20201018104326,192.168.67.3,5002,100.100.100.10,48404,4,20.0-30.0,17010616,13608492
20201018104336,192.168.67.3,5002,100.100.100.10,48404,4,30.0-40.0,17538696,14030956
20201018104346,192.168.67.3,5002,100.100.100.10,48404,4,40.0-50.0,18263840,14611072
20201018104356,192.168.67.3,5002,100.100.100.10,48404,4,50.0-60.0,16866360,13493088
20201018104406,192.168.67.3,5002,100.100.100.10,48404,4,60.0-70.0,18068064,14454451
20201018104416,192.168.67.3,5002,100.100.100.10,48404,4,70.0-80.0,21121912,16897529
20201018104426,192.168.67.3,5002,100.100.100.10,48404,4,80.0-90.0,19873840,15899072
20201018104436,192.168.67.3,5002,100.100.100.10,48404,4,90.0-100.0,18020408,14416326
20201018104446,192.168.67.3,5002,100.100.100.10,48404,4,100.0-110.0,18022984,14418387
20201018104456,192.168.67.3,5002,100.100.100.10,48404,4,110.0-120.0,17214120,13771296
20201018104506,192.168.67.3,5002,100.100.100.10,48404,4,120.0-130.0,19602072,15681657
20201018104516,192.168.67.3,5002,100.100.100.10,48404,4,130.0-140.0,18557504,14846003
20201018104526,192.168.67.3,5002,100.100.100.10,48404,4,140.0-150.0,19663896,15731116
20201018104536,192.168.67.3,5002,100.100.100.10,48404,4,150.0-160.0,15699432,12559545
20201018104546,192.168.67.3,5002,100.100.100.10,48404,4,160.0-170.0,17170328,13736262
20201018104556,192.168.67.3,5002,100.100.100.10,48404,4,170.0-180.0,19627832,15702265
20201018104606,192.168.67.3,5002,100.100.100.10,48404,4,180.0-190.0,18111856,14489484
20201018104616,192.168.67.3,5002,100.100.100.10,48404,4,190.0-200.0,19131952,15305561
20201018104626,192.168.67.3,5002,100.100.100.10,48404,4,200.0-210.0,19581464,15665171
20201018104636,192.168.67.3,5002,100.100.100.10,48404,4,210.0-220.0,17539984,14031987
20201018104646,192.168.67.3,5002,100.100.100.10,48404,4,220.0-230.0,17689392,14151513
20201018104656,192.168.67.3,5002,100.100.100.10,48404,4,230.0-240.0,16157960,12926368
20201018104706,192.168.67.3,5002,100.100.100.10,48404,4,240.0-250.0,19175744,15340595
