{'TIMESTAMP': '2020-11-27 17:50:37', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:14:40.459247', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 14, 40, 483703)}
{'TIMESTAMP': '2020-11-27 17:51:39', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:15:45.639176', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 15, 45, 663220)}
{'TIMESTAMP': '2020-11-27 17:52:41', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:16:50.784223', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 16, 50, 808563)}
{'TIMESTAMP': '2020-11-27 17:53:43', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:17:55.924579', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 17, 55, 948441)}
{'TIMESTAMP': '2020-11-27 17:54:46', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:19:01.039088', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 19, 1, 64980)}
{'TIMESTAMP': '2020-11-27 17:55:48', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:20:06.199088', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 20, 6, 224422)}
{'TIMESTAMP': '2020-11-27 17:56:50', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:21:11.338984', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 21, 11, 363230)}
{'TIMESTAMP': '2020-11-27 17:57:53', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:22:16.478919', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 22, 16, 508280)}
{'TIMESTAMP': '2020-11-27 17:58:54', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:23:21.569390', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 23, 21, 593213)}
{'TIMESTAMP': '2020-11-27 17:59:56', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:24:26.713915', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 24, 26, 739005)}
{'TIMESTAMP': '2020-11-27 18:00:58', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:25:31.868840', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 25, 31, 898136)}
{'TIMESTAMP': '2020-11-27 18:02:01', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:26:37.013799', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 26, 37, 38036)}
{'TIMESTAMP': '2020-11-27 18:03:01', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:27:42.164231', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 27, 42, 187732)}
{'TIMESTAMP': '2020-11-27 18:04:06', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:28:47.313747', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 28, 47, 363036)}
{'TIMESTAMP': '2020-11-27 18:05:08', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:29:52.479155', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 29, 52, 502903)}
{'TIMESTAMP': '2020-11-27 18:06:10', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:30:57.623687', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 30, 57, 647527)}
{'TIMESTAMP': '2020-11-27 18:07:12', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:32:02.753695', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 32, 2, 777803)}
{'TIMESTAMP': '2020-11-27 18:08:13', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:33:07.898584', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 33, 7, 922767)}
{'TIMESTAMP': '2020-11-27 18:09:16', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:34:13.043535', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 34, 13, 77293)}
{'TIMESTAMP': '2020-11-27 18:10:17', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:35:18.193750', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 35, 18, 227651)}
{'TIMESTAMP': '2020-11-27 18:11:21', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:36:23.353906', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 36, 23, 377531)}
{'TIMESTAMP': '2020-11-27 18:12:22', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:37:28.498446', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 37, 28, 522090)}
{'TIMESTAMP': '2020-11-27 18:13:24', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:38:33.598375', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 38, 33, 622442)}
{'TIMESTAMP': '2020-11-27 18:14:25', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:39:38.693807', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 39, 38, 727309)}
{'TIMESTAMP': '2020-11-27 18:15:28', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:40:43.878749', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 40, 43, 901828)}
{'TIMESTAMP': '2020-11-27 18:16:29', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:41:49.033286', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 41, 49, 58281)}
{'TIMESTAMP': '2020-11-27 18:17:31', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:42:54.209538', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 42, 54, 242071)}
{'TIMESTAMP': '2020-11-27 18:18:37', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:43:59.368570', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 43, 59, 392112)}
{'TIMESTAMP': '2020-11-27 18:19:38', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:45:04.468212', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 45, 4, 492068)}
{'TIMESTAMP': '2020-11-27 18:20:40', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:46:09.628564', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 46, 9, 651812)}
{'TIMESTAMP': '2020-11-27 18:21:41', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:47:14.788130', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 47, 14, 811990)}
{'TIMESTAMP': '2020-11-27 18:22:43', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:48:19.888086', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 48, 19, 916911)}
{'TIMESTAMP': '2020-11-27 18:23:46', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:49:25.033441', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 49, 25, 57509)}
{'TIMESTAMP': '2020-11-27 18:24:47', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:50:30.183232', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 50, 30, 206797)}
{'TIMESTAMP': '2020-11-27 18:25:49', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:51:35.332972', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 51, 35, 356722)}
{'TIMESTAMP': '2020-11-27 18:26:51', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:52:40.488375', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 52, 40, 512280)}
