# TestOK BufferSize(B) BW(b/s) Stdev(b/s) BW(Mb/s)
1 32 1.26633e+07 2.38258e+06 12.6633
1 64 1.25871e+07 2.58885e+06 12.5871
1 128 1.29806e+07 2.92063e+06 12.9806
