# TestOK BufferSize(B) BW(b/s) Stdev(b/s) BW(Mb/s)
1 32 1.51756e+07 1.63628e+06 15.1756
1 64 1.51961e+07 2.01361e+06 15.1961
-1 128 0 0 0
