# TimeStamp(s) Latency-avg(ms) Stdev
2970 34.641 6.727
2980 34.48 7.209
2990 34.216 7.003
3000 34.997 6.989
3010 34.451 7.152
3020 34.957 6.886
3030 35.035 6.401
3040 34.353 6.332
3050 34.059 6.794
3060 34.925 6.625
3070 34.969 6.89
3080 35.227 7.151
3090 35.227 6.431
3100 34.611 6.979
3110 33.929 6.956
3120 34.342 7.15
3130 34.392 7.299
3140 34.104 7.293
3150 34.423 6.616
3160 35.047 6.604
3170 34.431 6.511
3180 34.945 6.631
3190 35.354 7.332
3200 34.94 6.587
3210 34.679 6.918
3220 34.532 7.129
3230 34.193 6.994
3240 33.904 7.455
3250 34.529 7.188
3260 35.205 6.873
3270 34.4 6.878
3280 34.644 7.041
3290 34.42 6.79
3300 34.505 7.055
3310 34.413 6.756
3320 33.736 7.098
3330 33.698 7.248
3340 34.006 6.413
3350 34.761 6.67
3360 34.274 6.742
3370 34.45 6.729
3380 35.122 7.269
3390 34.549 6.499
3400 34.013 6.797
3410 34.178 6.237
3420 33.82 6.564
3430 33.629 7.129
3440 33.99 6.526
3450 35.188 6.429
3460 34.56 6.619
3470 34.53 7.017
3480 34.913 6.406
3490 34.438 6.486
3500 34.539 7.824
3510 34.031 7.058
3520 34.366 8.417
3530 33.423 7.018
3540 34.576 6.824
3550 34.448 6.692
3560 34.068 7.093
3570 34.024 7.141
3580 34.061 6.36
3590 33.863 6.715
3600 33.966 6.7
3610 34.17 6.983
3620 33.306 6.379
3630 33.702 7.11
3640 33.813 6.734
3650 34.029 7.064
3660 34.099 8.076
3670 33.94 6.908
3680 33.881 6.882
3690 34.071 6.544
3700 34.164 9.006
3710 33.741 7.051
3720 33.533 7.265
3730 33.988 6.232
3740 34.612 6.809
3750 34.068 6.741
3760 34.299 6.675
3770 33.404 6.865
3780 33.013 6.866
3790 33.55 7.466
3800 32.996 6.998
3810 32.803 7.149
3820 32.052 7.05
3830 33.98 6.894
3840 33.937 6.865
3850 34.568 8.725
3860 33.298 6.747
3870 33.312 6.646
3880 33.372 6.867
3890 33.138 6.752
3900 33.572 6.819
3910 33.766 9.74
3920 33.166 7.159
3930 34.376 6.64
3940 33.784 6.582
3950 34.303 6.171
3960 33.787 6.784
3970 33.447 6.74
3980 33.303 6.639
3990 33.299 7.281
4000 32.54 6.717
4010 32.963 7.243
4020 33.051 6.484
4030 33.767 6.759
4040 33.738 6.592
4050 33.64 7.07
4060 33.382 6.879
4070 33.233 6.697
4080 33.159 6.684
4090 32.582 6.599
4100 32.835 6.877
4110 32.785 7.186
4120 33.147 7.075
4130 33.46 7.008
4140 33.044 6.256
4150 33.617 6.595
4160 33.267 6.984
4170 33.175 6.632
4180 32.773 7.366
4190 32.802 7.905
4200 32.28 6.935
4210 32.175 6.752
4220 32.794 7.207
4230 32.963 6.909
4240 33.33 6.581
4250 33.074 6.86
4260 32.92 6.687
4270 32.784 6.898
4280 31.917 6.951
4290 31.982 6.782
4300 32.14 6.492
4310 32.011 6.84
4320 32.203 6.848
4330 32 6.97
4340 33.382 9.292
4350 32.251 7.247
4360 32.458 6.707
4370 32.874 6.453
4380 32.846 6.939
4390 32.245 6.851
4400 32.109 6.586
4410 31.365 6.653
4420 32.675 7.027
4430 32.596 7.345
4440 32.828 6.784
4450 32.273 6.814
4460 31.716 7.019
4470 32.316 7.086
4480 31.78 6.767
4490 31.901 7.726
4500 31.769 6.739
4510 31.091 6.58
4520 32.127 6.974
4530 32.531 6.746
4540 31.975 6.433
4550 32.498 7.379
4560 32.002 7.187
4570 31.957 7.1
4580 31.866 6.469
4590 31.73 6.299
4600 31.696 8.089
4610 31.517 6.435
4620 32.184 7.045
4630 32.049 7.121
4640 32.125 7.253
4650 32.006 6.643
4660 31.963 6.826
4670 31.39 7.365
4680 31.293 7.012
4690 31.095 6.429
4700 30.891 7.105
4710 31.033 6.686
4720 31.131 6.648
4730 30.964 6.451
4740 32.111 6.805
4750 31.278 7.235
4760 31.762 6.664
4770 31.232 6.51
4780 31.252 6.382
4790 30.597 6.406
4800 30.697 7.46
4810 30.559 7.719
4820 31.842 6.676
4830 31.858 9.545
4840 31.934 7.032
4850 31.248 7.348
4860 31.169 7.341
4870 30.851 6.789
4880 30.902 7.016
4890 30.663 7.052
4900 30.612 7.141
4910 31.182 7.164
4920 31.294 7.125
4930 31.291 6.864
4940 31.493 6.821
4950 31.184 6.875
4960 31.135 6.819
4970 30.536 6.591
4980 30.865 6.551
4990 30.383 6.905
5000 30.413 7.027
5010 30.866 7.337
5020 30.779 6.883
5030 30.791 6.738
5040 31.269 6.777
5050 31.413 6.731
5060 31.18 7.809
5070 30.446 6.888
5080 30.77 6.651
5090 30.063 6.865
5100 30.396 6.72
5110 30.681 6.36
5120 30.993 6.788
5130 31.063 8.164
5140 31.045 7.249
5150 30.28 6.693
5160 30.485 6.836
5170 30.71 7.15
5180 30.27 7.098
5190 30.426 7.01
5200 30.681 7.796
5210 30.144 6.874
5220 30.816 7.262
5230 30.419 6.847
5240 30.219 7.228
5250 29.921 6.753
5260 30.526 6.873
5270 29.809 6.794
5280 29.963 7.148
5290 29.742 6.848
5300 30.173 7.801
5310 30.352 6.838
5320 30.061 7.625
5330 30.239 7.126
5340 30.519 6.849
5350 30.247 6.78
5360 30.41 6.894
5370 29.777 6.867
5380 29.307 6.988
5390 29.684 7.042
5400 30.167 6.676
5410 30.555 6.637
5420 30.642 6.988
5430 30.161 6.961
5440 30.043 6.535
5450 30.22 6.771
5460 29.897 6.5
5470 29.847 7.195
5480 29.635 6.748
5490 30.069 6.686
5500 30.025 6.809
5510 30.512 7.739
5520 29.86 7.042
5530 30.496 6.697
5540 30.063 6.627
5550 30.362 6.938
5560 29.761 7.207
5570 29.675 7.095
5580 29.533 6.792
5590 28.843 6.759
5600 29.445 6.748
5610 30.607 7.731
5620 30.505 6.952
5630 30.124 6.957
5640 29.767 6.633
5650 30.192 6.715
5660 29.723 6.917
5670 29.715 7.014
5680 29.385 6.994
5690 29.573 6.86
5700 29.23 7.267
5710 30.681 6.762
5720 30.596 8.171
5730 29.95 6.999
5740 29.89 6.671
5750 29.666 7.013
5760 29.713 6.601
5770 29.84 6.566
5780 30.071 6.561
5790 29.453 6.407
5800 29.727 6.937
5810 30.116 7.314
5820 30.208 7.004
5830 29.638 7.458
5840 30.342 8.094
5850 29.69 6.806
