20201205122246,192.168.241.11,5001,100.100.100.10,46718,4,0.0-10.0,2139368,1711494
20201205122246,192.168.241.11,5001,100.100.100.10,46724,7,0.0-10.0,3231592,2585273
20201205122246,192.168.241.11,5001,100.100.100.10,46726,9,0.0-10.0,2291352,1833081
20201205122246,192.168.241.11,5001,100.100.100.10,46728,11,0.0-10.0,5070856,4056684
20201205122246,192.168.241.11,5001,100.100.100.10,46730,8,0.0-10.0,7403424,5922739
20201205122246,192.168.241.11,5001,100.100.100.10,46722,6,0.0-10.0,3778992,3023193
20201205122246,192.168.241.11,5001,100.100.100.10,46720,5,0.0-10.0,3972192,3177753
20201205122246,192.168.241.11,5001,100.100.100.10,46732,12,0.0-10.0,2689344,2151475
20201205122246,192.168.241.11,0,100.100.100.10,0,-1,0.0-10.0,30577120,24461696
20201205122256,192.168.241.11,5001,100.100.100.10,46718,4,10.0-20.0,1559768,1247814
20201205122256,192.168.241.11,5001,100.100.100.10,46730,8,10.0-20.0,3768688,3014950
20201205122256,192.168.241.11,5001,100.100.100.10,46732,12,10.0-20.0,1553328,1242662
20201205122256,192.168.241.11,5001,100.100.100.10,46720,5,10.0-20.0,2485840,1988672
20201205122256,192.168.241.11,5001,100.100.100.10,46722,6,10.0-20.0,1684704,1347763
20201205122256,192.168.241.11,5001,100.100.100.10,46724,7,10.0-20.0,5837216,4669772
20201205122256,192.168.241.11,5001,100.100.100.10,46726,9,10.0-20.0,2363480,1890784
20201205122256,192.168.241.11,5001,100.100.100.10,46728,11,10.0-20.0,3563896,2851116
20201205122256,192.168.241.11,0,100.100.100.10,0,-1,10.0-20.0,22816920,18253536
20201205122306,192.168.241.11,5001,100.100.100.10,46718,4,20.0-30.0,3387440,2709952
20201205122306,192.168.241.11,5001,100.100.100.10,46720,5,20.0-30.0,3229016,2583212
20201205122306,192.168.241.11,5001,100.100.100.10,46722,6,20.0-30.0,2399544,1919635
20201205122306,192.168.241.11,5001,100.100.100.10,46724,7,20.0-30.0,4070080,3256064
20201205122306,192.168.241.11,5001,100.100.100.10,46730,8,20.0-30.0,4488680,3590944
20201205122306,192.168.241.11,5001,100.100.100.10,46732,12,20.0-30.0,1965488,1572390
20201205122306,192.168.241.11,5001,100.100.100.10,46726,9,20.0-30.0,1482488,1185990
20201205122306,192.168.241.11,5001,100.100.100.10,46728,11,20.0-30.0,2256576,1805260
20201205122306,192.168.241.11,0,100.100.100.10,0,-1,20.0-30.0,23279312,18623449
20201205122316,192.168.241.11,5001,100.100.100.10,46720,5,30.0-40.0,4249112,3399289
20201205122316,192.168.241.11,5001,100.100.100.10,46722,6,30.0-40.0,3379712,2703769
20201205122316,192.168.241.11,5001,100.100.100.10,46726,9,30.0-40.0,1843128,1474502
20201205122316,192.168.241.11,5001,100.100.100.10,46730,8,30.0-40.0,1567496,1253996
20201205122316,192.168.241.11,5001,100.100.100.10,46732,12,30.0-40.0,1170792,936633
20201205122316,192.168.241.11,5001,100.100.100.10,46718,4,30.0-40.0,4285176,3428140
20201205122316,192.168.241.11,5001,100.100.100.10,46724,7,30.0-40.0,4072656,3258124
20201205122316,192.168.241.11,5001,100.100.100.10,46728,11,30.0-40.0,1689856,1351884
20201205122316,192.168.241.11,0,100.100.100.10,0,-1,30.0-40.0,22257928,17806342
20201205122326,192.168.241.11,5001,100.100.100.10,46718,4,40.0-50.0,3144008,2515206
20201205122326,192.168.241.11,5001,100.100.100.10,46720,5,40.0-50.0,2256576,1805260
20201205122326,192.168.241.11,5001,100.100.100.10,46722,6,40.0-50.0,1814792,1451833
20201205122326,192.168.241.11,5001,100.100.100.10,46724,7,40.0-50.0,3091200,2472960
20201205122326,192.168.241.11,5001,100.100.100.10,46726,9,40.0-50.0,2136792,1709433
20201205122326,192.168.241.11,5001,100.100.100.10,46728,11,40.0-50.0,3638600,2910880
20201205122326,192.168.241.11,5001,100.100.100.10,46730,8,40.0-50.0,1497944,1198355
20201205122326,192.168.241.11,5001,100.100.100.10,46732,12,40.0-50.0,4390792,3512633
20201205122326,192.168.241.11,0,100.100.100.10,0,-1,40.0-50.0,21970704,17576563
20201205122336,192.168.241.11,5001,100.100.100.10,46718,4,50.0-60.0,2617216,2093772
20201205122336,192.168.241.11,5001,100.100.100.10,46720,5,50.0-60.0,2086560,1669248
20201205122336,192.168.241.11,5001,100.100.100.10,46722,6,50.0-60.0,3276672,2621337
20201205122336,192.168.241.11,5001,100.100.100.10,46724,7,50.0-60.0,4305784,3444627
20201205122336,192.168.241.11,5001,100.100.100.10,46730,8,50.0-60.0,2090424,1672339
20201205122336,192.168.241.11,5001,100.100.100.10,46728,11,50.0-60.0,2299080,1839264
20201205122336,192.168.241.11,5001,100.100.100.10,46732,12,50.0-60.0,2815568,2252454
20201205122337,192.168.241.11,5001,100.100.100.10,46726,9,50.0-60.0,2984296,2387436
20201205122337,192.168.241.11,0,100.100.100.10,0,-1,50.0-60.0,22475600,17980480
20201205122346,192.168.241.11,5001,100.100.100.10,46718,4,60.0-70.0,1695008,1356006
20201205122346,192.168.241.11,5001,100.100.100.10,46720,5,60.0-70.0,2212784,1770227
20201205122346,192.168.241.11,5001,100.100.100.10,46722,6,60.0-70.0,4560808,3648646
20201205122346,192.168.241.11,5001,100.100.100.10,46724,7,60.0-70.0,3956736,3165388
20201205122346,192.168.241.11,5001,100.100.100.10,46726,9,60.0-70.0,2485840,1988672
20201205122346,192.168.241.11,5001,100.100.100.10,46728,11,60.0-70.0,1719480,1375584
20201205122346,192.168.241.11,5001,100.100.100.10,46730,8,60.0-70.0,3888472,3110777
