{}
{'Time_STAMP': '2020-11-27 17:34:22', 'CEI_ID': '2', 'U_DC': '742.9', 'I_DC': '1.36', 'U_RMS_A': '229.74', 'U_RMS_B': '230.93', 'U_RMS_C': '227.4', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.84', 'S_RMS_B': '40.7', 'S_RMS_C': '681.46', 'T_IGBT': '46.5', 'T_AMBIENT': '18', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:23', 'CEI_ID': '2', 'U_DC': '742.9', 'I_DC': '1.36', 'U_RMS_A': '229.74', 'U_RMS_B': '230.93', 'U_RMS_C': '227.4', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.84', 'S_RMS_B': '40.7', 'S_RMS_C': '681.46', 'T_IGBT': '46.5', 'T_AMBIENT': '18', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:26', 'CEI_ID': '2', 'U_DC': '744.1', 'I_DC': '1.35', 'U_RMS_A': '229.73', 'U_RMS_B': '230.98', 'U_RMS_C': '227.41', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.5', 'S_RMS_B': '40.43', 'S_RMS_C': '681.94', 'T_IGBT': '46.5', 'T_AMBIENT': '18', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:27', 'CEI_ID': '2', 'U_DC': '744.6', 'I_DC': '1.34', 'U_RMS_A': '229.68', 'U_RMS_B': '230.97', 'U_RMS_C': '227.39', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.57', 'S_RMS_B': '40.51', 'S_RMS_C': '681.53', 'T_IGBT': '46.6', 'T_AMBIENT': '18', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:28', 'CEI_ID': '2', 'U_DC': '744.6', 'I_DC': '1.34', 'U_RMS_A': '229.68', 'U_RMS_B': '230.97', 'U_RMS_C': '227.39', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '140.57', 'S_RMS_B': '40.51', 'S_RMS_C': '681.53', 'T_IGBT': '46.6', 'T_AMBIENT': '18', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:29', 'CEI_ID': '2', 'U_DC': '744.5', 'I_DC': '1.35', 'U_RMS_A': '229.66', 'U_RMS_B': '230.98', 'U_RMS_C': '227.39', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.41', 'S_RMS_B': '40.17', 'S_RMS_C': '681.58', 'T_IGBT': '46.6', 'T_AMBIENT': '17.9', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:30', 'CEI_ID': '2', 'U_DC': '744.5', 'I_DC': '1.35', 'U_RMS_A': '229.66', 'U_RMS_B': '230.98', 'U_RMS_C': '227.39', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.41', 'S_RMS_B': '40.17', 'S_RMS_C': '681.58', 'T_IGBT': '46.6', 'T_AMBIENT': '17.9', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:31', 'CEI_ID': '2', 'U_DC': '744.6', 'I_DC': '1.35', 'U_RMS_A': '229.65', 'U_RMS_B': '230.97', 'U_RMS_C': '227.39', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.15', 'S_RMS_B': '39.98', 'S_RMS_C': '682.74', 'T_IGBT': '46.7', 'T_AMBIENT': '17.9', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:32', 'CEI_ID': '2', 'U_DC': '744.6', 'I_DC': '1.35', 'U_RMS_A': '229.65', 'U_RMS_B': '230.97', 'U_RMS_C': '227.39', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.15', 'S_RMS_B': '39.98', 'S_RMS_C': '682.74', 'T_IGBT': '46.7', 'T_AMBIENT': '17.9', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:33', 'CEI_ID': '2', 'U_DC': '744.6', 'I_DC': '1.35', 'U_RMS_A': '229.64', 'U_RMS_B': '230.99', 'U_RMS_C': '227.41', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.4', 'S_RMS_B': '40.3', 'S_RMS_C': '682.86', 'T_IGBT': '46.7', 'T_AMBIENT': '17.9', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:34', 'CEI_ID': '2', 'U_DC': '744.7', 'I_DC': '1.35', 'U_RMS_A': '229.63', 'U_RMS_B': '230.94', 'U_RMS_C': '227.43', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3.01', 'S_RMS_A': '140.18', 'S_RMS_B': '40.21', 'S_RMS_C': '683.51', 'T_IGBT': '46.7', 'T_AMBIENT': '17.8', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:35', 'CEI_ID': '2', 'U_DC': '744.7', 'I_DC': '1.35', 'U_RMS_A': '229.63', 'U_RMS_B': '230.94', 'U_RMS_C': '227.43', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3.01', 'S_RMS_A': '140.18', 'S_RMS_B': '40.21', 'S_RMS_C': '683.51', 'T_IGBT': '46.7', 'T_AMBIENT': '17.8', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
