------------------------------------------------------------
Server listening on UDP port 5005 with pid 160515
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 100.100.100.10 port 5005 connected with 192.168.241.15 port 42558
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 370.0000-380.0000 sec   310 KBytes   254 Kbits/sec  39.871 ms  493/  709 (70%) -/-/-/- ms   22 pps
[  3] 380.0000-390.0000 sec   322 KBytes   263 Kbits/sec  33.642 ms  435/  659 (66%) -/-/-/- ms   22 pps
[  3] 390.0000-400.0000 sec   368 KBytes   301 Kbits/sec  38.847 ms  597/  853 (70%) -/-/-/- ms   26 pps
[  3] 400.0000-410.0000 sec   324 KBytes   266 Kbits/sec  49.117 ms  631/  857 (74%) -/-/-/- ms   23 pps
[  3] 410.0000-420.0000 sec   376 KBytes   308 Kbits/sec  34.678 ms  621/  883 (70%) -/-/-/- ms   26 pps
[  3] 420.0000-430.0000 sec   337 KBytes   276 Kbits/sec  42.337 ms  491/  726 (68%) -/-/-/- ms   24 pps
[  3] 430.0000-440.0000 sec   267 KBytes   219 Kbits/sec  46.133 ms  677/  863 (78%) -/-/-/- ms   19 pps
[  3] 440.0000-450.0000 sec   309 KBytes   253 Kbits/sec  38.804 ms  667/  882 (76%) -/-/-/- ms   22 pps
[  3] 450.0000-460.0000 sec   441 KBytes   361 Kbits/sec  25.900 ms  562/  869 (65%) -/-/-/- ms   31 pps
[  3] 460.0000-470.0000 sec   537 KBytes   440 Kbits/sec  41.582 ms  726/ 1100 (66%) -/-/-/- ms   37 pps
[  3] 470.0000-480.0000 sec   429 KBytes   352 Kbits/sec  45.578 ms  663/  962 (69%) -/-/-/- ms   30 pps
[  3] 480.0000-490.0000 sec   435 KBytes   356 Kbits/sec  28.612 ms  694/  997 (70%) -/-/-/- ms   30 pps
[  3] 490.0000-500.0000 sec   481 KBytes   394 Kbits/sec  29.404 ms  710/ 1045 (68%) -/-/-/- ms   34 pps
[  3] 500.0000-510.0000 sec   508 KBytes   416 Kbits/sec  32.636 ms  742/ 1096 (68%) -/-/-/- ms   35 pps
[  3] 510.0000-520.0000 sec   510 KBytes   417 Kbits/sec  31.753 ms  707/ 1062 (67%) -/-/-/- ms   35 pps
[  3] 520.0000-530.0000 sec   429 KBytes   352 Kbits/sec  35.490 ms  655/  954 (69%) -/-/-/- ms   30 pps
[  3] 530.0000-540.0000 sec   334 KBytes   274 Kbits/sec  47.139 ms  606/  839 (72%) -/-/-/- ms   23 pps
[  3] 540.0000-550.0000 sec   322 KBytes   263 Kbits/sec  38.363 ms  648/  872 (74%) -/-/-/- ms   22 pps
[  3] 550.0000-560.0000 sec   352 KBytes   288 Kbits/sec  54.605 ms  669/  914 (73%) -/-/-/- ms   24 pps
[  3] 560.0000-570.0000 sec   289 KBytes   236 Kbits/sec  44.504 ms  706/  907 (78%) -/-/-/- ms   20 pps
[  3] 570.0000-580.0000 sec   346 KBytes   283 Kbits/sec  33.743 ms  520/  761 (68%) -/-/-/- ms   24 pps
[  3] 580.0000-590.0000 sec   346 KBytes   283 Kbits/sec  43.928 ms  464/  705 (66%) -/-/-/- ms   24 pps
[  3] 590.0000-600.0000 sec   324 KBytes   266 Kbits/sec  41.018 ms  531/  757 (70%) -/-/-/- ms   23 pps
[  3] 600.0000-610.0000 sec   327 KBytes   268 Kbits/sec  46.968 ms  629/  857 (73%) -/-/-/- ms   23 pps
[  3] 610.0000-620.0000 sec   306 KBytes   250 Kbits/sec  34.105 ms  509/  722 (70%) -/-/-/- ms   21 pps
[  3] 620.0000-630.0000 sec   426 KBytes   349 Kbits/sec  34.394 ms  493/  790 (62%) -/-/-/- ms   30 pps
[  3] 630.0000-640.0000 sec   446 KBytes   366 Kbits/sec  30.308 ms  459/  770 (60%) -/-/-/- ms   31 pps
[  3] 640.0000-650.0000 sec   385 KBytes   315 Kbits/sec  39.607 ms  530/  798 (66%) -/-/-/- ms   27 pps
[  3] 650.0000-660.0000 sec   398 KBytes   326 Kbits/sec  32.889 ms  611/  888 (69%) -/-/-/- ms   28 pps
[  3] 660.0000-670.0000 sec   416 KBytes   341 Kbits/sec  44.732 ms  701/  991 (71%) -/-/-/- ms   29 pps
[  3] 670.0000-680.0000 sec   270 KBytes   221 Kbits/sec  44.461 ms  704/  892 (79%) -/-/-/- ms   19 pps
[  3] 680.0000-690.0000 sec   363 KBytes   298 Kbits/sec  40.586 ms  632/  885 (71%) -/-/-/- ms   25 pps
[  3] 690.0000-700.0000 sec   422 KBytes   346 Kbits/sec  37.960 ms  642/  936 (69%) -/-/-/- ms   29 pps
[  3] 700.0000-710.0000 sec   425 KBytes   348 Kbits/sec  40.765 ms  659/  955 (69%) -/-/-/- ms   30 pps
[  3] 710.0000-720.0000 sec   422 KBytes   346 Kbits/sec  33.257 ms  683/  977 (70%) -/-/-/- ms   29 pps
[  3] 720.0000-730.0000 sec   436 KBytes   358 Kbits/sec  38.500 ms  652/  956 (68%) -/-/-/- ms   30 pps
[  3] 730.0000-740.0000 sec   409 KBytes   335 Kbits/sec  30.141 ms  673/  958 (70%) -/-/-/- ms   28 pps
[  3] 740.0000-750.0000 sec   365 KBytes   299 Kbits/sec  54.817 ms  618/  872 (71%) -/-/-/- ms   25 pps
[  3] 750.0000-760.0000 sec   379 KBytes   310 Kbits/sec  44.629 ms  545/  809 (67%) -/-/-/- ms   26 pps
[  3] 760.0000-770.0000 sec   345 KBytes   282 Kbits/sec  50.785 ms  614/  854 (72%) -/-/-/- ms   24 pps
[  3] 770.0000-780.0000 sec   280 KBytes   229 Kbits/sec  41.163 ms  668/  863 (77%) -/-/-/- ms   20 pps
[  3] 780.0000-790.0000 sec   363 KBytes   298 Kbits/sec  32.332 ms  492/  745 (66%) -/-/-/- ms   25 pps
[  3] 790.0000-800.0000 sec   319 KBytes   261 Kbits/sec  38.371 ms  650/  872 (75%) -/-/-/- ms   22 pps
[  3] 800.0000-810.0000 sec   401 KBytes   328 Kbits/sec  33.272 ms  623/  902 (69%) -/-/-/- ms   28 pps
[  3] 810.0000-820.0000 sec   432 KBytes   354 Kbits/sec  36.909 ms  637/  938 (68%) -/-/-/- ms   30 pps
[  3] 820.0000-830.0000 sec   293 KBytes   240 Kbits/sec  59.679 ms  619/  823 (75%) -/-/-/- ms   20 pps
[  3] 830.0000-840.0000 sec   349 KBytes   286 Kbits/sec  35.123 ms  587/  830 (71%) -/-/-/- ms   24 pps
[  3] 840.0000-850.0000 sec   319 KBytes   261 Kbits/sec  39.340 ms  583/  805 (72%) -/-/-/- ms   22 pps
[  3] 850.0000-860.0000 sec   320 KBytes   262 Kbits/sec  36.493 ms  596/  819 (73%) -/-/-/- ms   22 pps
[  3] 860.0000-870.0000 sec   422 KBytes   346 Kbits/sec  50.365 ms  618/  912 (68%) -/-/-/- ms   29 pps
[  3] 870.0000-880.0000 sec   346 KBytes   283 Kbits/sec  42.900 ms  655/  896 (73%) -/-/-/- ms   24 pps
[  3] 880.0000-890.0000 sec   330 KBytes   270 Kbits/sec  44.309 ms  621/  851 (73%) -/-/-/- ms   23 pps
[  3] 890.0000-900.0000 sec   419 KBytes   343 Kbits/sec  32.688 ms  664/  956 (69%) -/-/-/- ms   29 pps
[  3] 900.0000-910.0000 sec   333 KBytes   273 Kbits/sec  30.816 ms  680/  912 (75%) -/-/-/- ms   23 pps
[  3] 910.0000-920.0000 sec   490 KBytes   401 Kbits/sec  33.256 ms  705/ 1046 (67%) -/-/-/- ms   34 pps
[  3] 920.0000-930.0000 sec   271 KBytes   222 Kbits/sec  70.388 ms  704/  893 (79%) -/-/-/- ms   19 pps
[  3] 930.0000-940.0000 sec   291 KBytes   239 Kbits/sec  55.140 ms  614/  817 (75%) -/-/-/- ms   20 pps
[  3] 940.0000-950.0000 sec   300 KBytes   246 Kbits/sec  46.292 ms  631/  840 (75%) -/-/-/- ms   21 pps
[  3] 950.0000-960.0000 sec   362 KBytes   296 Kbits/sec  29.432 ms  657/  909 (72%) -/-/-/- ms   25 pps
[  3] 960.0000-970.0000 sec   388 KBytes   318 Kbits/sec  30.937 ms  623/  893 (70%) -/-/-/- ms   27 pps
[  3] 970.0000-980.0000 sec   389 KBytes   319 Kbits/sec  31.625 ms  666/  937 (71%) -/-/-/- ms   27 pps
[  3] 980.0000-990.0000 sec   293 KBytes   240 Kbits/sec  46.383 ms  634/  838 (76%) -/-/-/- ms   20 pps
[  3] 990.0000-1000.0000 sec   339 KBytes   278 Kbits/sec  38.924 ms  601/  837 (72%) -/-/-/- ms   24 pps
