# TestOK BufferSize(B) BW(b/s) Stdev(b/s) BW(Mb/s)
1 32 1.53884e+07 160267 15.3884
1 64 1.53407e+07 93289.6 15.3407
1 128 1.51926e+07 227977 15.1926
