# TestOK BufferSize(B) BW(b/s) Stdev(b/s) BW(Mb/s)
1 32 1.32821e+07 598768 13.2821
0 64 6.31631e+06 6.33202e+06 6.31631
1 128 1.28626e+07 583462 12.8626
