# TimeStamp(s) Latency-avg(ms) Stdev
2970 48.806 78.559
2980 37.977 61.206
2990 66.606 89.311
3000 53.581 79.088
3010 69.559 93.247
3020 87.566 106.725
3030 42.382 65.759
3040 43.57 71.562
3050 67.327 94.368
3060 95.01 102.768
3070 116.139 113.468
3080 92.076 99.542
3090 88.368 105.358
3100 63.926 85.196
3110 67.917 87.987
3120 76.95 99.37
3130 73.018 92.407
3140 68.172 89.158
3150 78.304 105.362
3160 60.749 86.562
3170 83.067 98.165
3180 46.037 68.078
3190 76.626 101.786
3200 67.414 94.34
3210 56.433 89.444
3220 73.245 94.846
3230 83.213 101.271
3240 83.648 107.398
3250 62.934 87.261
3260 68.996 89.411
3270 82.836 97.238
3280 67.459 91.439
3290 75.219 93.571
3300 91.202 98.666
3310 83.611 98.325
3320 69.999 90.947
3330 77.148 98.648
3340 57.02 85.313
3350 63.294 94.003
3360 63.737 88.886
3370 75.614 92.938
3380 95.314 103.527
3390 71.926 96.052
3400 73.058 89.556
3410 57.623 86.211
3420 58.146 83.804
3430 48.68 75.547
3440 73.342 93.507
3450 81.351 96.747
3460 39.072 62.107
3470 75.962 100.696
3480 94.396 112.621
3490 39.243 64.555
3500 80.951 97.726
3510 86.573 106.988
3520 67.745 86.697
3530 79.473 100.528
3540 51.297 78.967
3550 65.832 91.114
3560 89.63 110.937
3570 51.841 71.693
3580 79.997 102.477
3590 71.986 96.224
3600 86.433 96.215
3610 85.942 101.723
3620 78.83 96.381
3630 51.359 79.564
3640 73.313 97.622
3650 91.782 108.819
3660 84.99 103.771
3670 82.167 104.566
3680 73.884 96.195
3690 64.907 93.57
3700 87.024 106.331
3710 72.061 95.128
3720 60.003 88.723
3730 66.927 92.593
3740 78.385 103.966
3750 76.034 100.506
3760 64.415 90.196
3770 72.98 98.789
3780 57.121 82.368
3790 68.601 91.406
3800 87.38 111.761
3810 74.445 98.975
3820 56.449 80.664
3830 50.417 77.701
3840 50.114 83.8
3850 79.459 94.94
3860 48.479 68.641
3870 84.091 102.056
3880 83.94 105.988
3890 50.016 79.845
3900 54.166 79.836
3910 70.134 95.824
3920 72.733 94.928
3930 61.912 89.038
3940 55.214 79.347
3950 51.644 77.799
3960 68.324 96.709
3970 81.763 108.504
3980 77.008 102.055
3990 56.454 90.284
4000 55.701 77.166
4010 71.226 92.717
4020 56.375 82.588
4030 74.5 93.864
4040 58.428 74.771
4050 71.986 90.098
4060 51.697 74.567
4070 77.855 104.485
4080 65.839 92.542
4090 89.034 106.643
4100 89.185 111.071
4110 80.735 97.381
4120 84.098 97.999
4130 52.777 83.968
4140 91.654 106.354
4150 111.542 114.304
4160 112.128 114.038
4170 51.412 76.517
4180 66.92 87.396
4190 80.401 98.84
4200 93.292 102.803
4210 68.181 84.749
4220 83.139 96.354
4230 81.055 92.535
4240 50.746 70.486
4250 52.319 75.22
4260 70.966 91.293
4270 69.912 90.557
4280 74.391 91.013
4290 64.699 81.387
4300 77.526 96.912
4310 88.82 99.233
4320 91.441 98.512
4330 72.482 84.814
4340 55.127 71.866
4350 58.309 80.931
4360 62.222 82.408
4370 67.204 93.924
4380 63.903 79.698
4390 57.686 78.566
4400 59.352 70.784
4410 58.15 68.851
4420 110.213 112.794
4430 73.102 89.813
4440 83.856 102.688
4450 80.044 91.637
4460 51.384 76.676
