------------------------------------------------------------
Server listening on UDP port 5001 with pid 166834
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 100.100.100.10 port 5001 connected with 192.168.241.15 port 44095
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 370.0000-380.0000 sec   202 KBytes   166 Kbits/sec  78.816 ms  790/  931 (85%) -/-/-/- ms   14 pps
[  3] 380.0000-390.0000 sec   192 KBytes   158 Kbits/sec  69.062 ms  830/  964 (86%) -/-/-/- ms   13 pps
[  3] 390.0000-400.0000 sec   155 KBytes   127 Kbits/sec  113.202 ms  813/  921 (88%) -/-/-/- ms   11 pps
[  3] 400.0000-410.0000 sec   151 KBytes   123 Kbits/sec  141.374 ms  727/  832 (87%) -/-/-/- ms   11 pps
[  3] 410.0000-420.0000 sec   149 KBytes   122 Kbits/sec  83.450 ms  796/  900 (88%) -/-/-/- ms   10 pps
[  3] 420.0000-430.0000 sec   136 KBytes   112 Kbits/sec  105.009 ms  682/  777 (88%) -/-/-/- ms   10 pps
[  3] 430.0000-440.0000 sec   113 KBytes  92.9 Kbits/sec  95.833 ms  758/  837 (91%) -/-/-/- ms    8 pps
[  3] 440.0000-450.0000 sec   149 KBytes   122 Kbits/sec  59.872 ms  753/  857 (88%) -/-/-/- ms   10 pps
[  3] 450.0000-460.0000 sec   167 KBytes   136 Kbits/sec  57.444 ms  758/  874 (87%) -/-/-/- ms   12 pps
[  3] 460.0000-470.0000 sec   162 KBytes   133 Kbits/sec  85.403 ms  789/  902 (87%) -/-/-/- ms   11 pps
[  3] 470.0000-480.0000 sec   185 KBytes   152 Kbits/sec  81.376 ms  816/  945 (86%) -/-/-/- ms   13 pps
[  3] 480.0000-490.0000 sec   189 KBytes   155 Kbits/sec  73.124 ms  802/  934 (86%) -/-/-/- ms   13 pps
[  3] 490.0000-500.0000 sec   156 KBytes   128 Kbits/sec  72.383 ms  750/  859 (87%) -/-/-/- ms   11 pps
[  3] 500.0000-510.0000 sec   155 KBytes   127 Kbits/sec  96.784 ms  834/  942 (89%) -/-/-/- ms   11 pps
[  3] 510.0000-520.0000 sec   168 KBytes   138 Kbits/sec  83.981 ms  712/  829 (86%) -/-/-/- ms   12 pps
[  3] 520.0000-530.0000 sec   164 KBytes   134 Kbits/sec  55.472 ms  751/  865 (87%) -/-/-/- ms   11 pps
[  3] 530.0000-540.0000 sec   121 KBytes  98.8 Kbits/sec  103.820 ms  761/  845 (90%) -/-/-/- ms    8 pps
[  3] 540.0000-550.0000 sec   122 KBytes   100 Kbits/sec  110.530 ms  748/  833 (90%) -/-/-/- ms    9 pps
[  3] 550.0000-560.0000 sec   139 KBytes   114 Kbits/sec  62.280 ms  805/  902 (89%) -/-/-/- ms   10 pps
[  3] 560.0000-570.0000 sec   131 KBytes   107 Kbits/sec  86.931 ms  794/  885 (90%) -/-/-/- ms    9 pps
[  3] 570.0000-580.0000 sec   142 KBytes   116 Kbits/sec  99.815 ms  853/  952 (90%) -/-/-/- ms   10 pps
[  3] 580.0000-590.0000 sec   174 KBytes   142 Kbits/sec  87.008 ms  816/  937 (87%) -/-/-/- ms   12 pps
[  3] 590.0000-600.0000 sec   145 KBytes   119 Kbits/sec  114.681 ms  753/  854 (88%) -/-/-/- ms   10 pps
[  3] 600.0000-610.0000 sec   138 KBytes   113 Kbits/sec  103.793 ms  797/  893 (89%) -/-/-/- ms   10 pps
[  3] 610.0000-620.0000 sec   164 KBytes   134 Kbits/sec  70.354 ms  722/  836 (86%) -/-/-/- ms   11 pps
[  3] 620.0000-630.0000 sec   172 KBytes   141 Kbits/sec  64.248 ms  786/  906 (87%) -/-/-/- ms   12 pps
[  3] 630.0000-640.0000 sec   188 KBytes   154 Kbits/sec  71.610 ms  664/  795 (84%) -/-/-/- ms   13 pps
[  3] 640.0000-650.0000 sec   202 KBytes   166 Kbits/sec  92.740 ms  750/  891 (84%) -/-/-/- ms   14 pps
[  3] 650.0000-660.0000 sec   188 KBytes   154 Kbits/sec  56.650 ms  741/  872 (85%) -/-/-/- ms   13 pps
[  3] 660.0000-670.0000 sec   184 KBytes   151 Kbits/sec  67.616 ms  754/  882 (85%) -/-/-/- ms   13 pps
[  3] 670.0000-680.0000 sec   207 KBytes   169 Kbits/sec  57.945 ms  783/  927 (84%) -/-/-/- ms   14 pps
[  3] 680.0000-690.0000 sec   135 KBytes   111 Kbits/sec  73.222 ms  813/  907 (90%) -/-/-/- ms    9 pps
[  3] 690.0000-700.0000 sec   177 KBytes   145 Kbits/sec  97.123 ms  871/  994 (88%) -/-/-/- ms   12 pps
[  3] 700.0000-710.0000 sec   198 KBytes   162 Kbits/sec  83.989 ms  778/  916 (85%) -/-/-/- ms   14 pps
[  3] 710.0000-720.0000 sec   200 KBytes   163 Kbits/sec  95.238 ms  760/  899 (85%) -/-/-/- ms   14 pps
[  3] 720.0000-730.0000 sec   185 KBytes   152 Kbits/sec  121.747 ms  724/  853 (85%) -/-/-/- ms   13 pps
[  3] 730.0000-740.0000 sec   208 KBytes   171 Kbits/sec  56.718 ms  758/  903 (84%) -/-/-/- ms   14 pps
[  3] 740.0000-750.0000 sec   211 KBytes   173 Kbits/sec  48.750 ms  746/  893 (84%) -/-/-/- ms   15 pps
[  3] 750.0000-760.0000 sec   212 KBytes   174 Kbits/sec  68.856 ms  743/  891 (83%) -/-/-/- ms   15 pps
[  3] 760.0000-770.0000 sec   217 KBytes   178 Kbits/sec  58.500 ms  759/  910 (83%) -/-/-/- ms   15 pps
[  3] 770.0000-780.0000 sec   197 KBytes   161 Kbits/sec  82.699 ms  783/  920 (85%) -/-/-/- ms   14 pps
