------------------------------------------------------------
Server listening on UDP port 5001 with pid 121628
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 100.100.100.10 port 5001 connected with 192.168.241.11 port 47324
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.733 ms    0/  892 (0%) -54.824/-66.935/-22.380/ 7.466 ms   89 pps  0.00
[  3] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   6.118 ms    0/  891 (0%) -54.695/-65.300/-22.608/ 7.940 ms   89 pps  0.00
[  3] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.007 ms    0/  890 (0%) -55.466/-65.499/-23.033/ 7.024 ms   89 pps  0.00
[  3] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.243 ms    0/  894 (0%) -54.515/-67.171/-23.658/ 7.661 ms   89 pps  0.00
[  3] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   6.623 ms    0/  892 (0%) -55.275/-65.595/-27.340/ 6.914 ms   89 pps  0.00
[  3] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.505 ms    0/  890 (0%) -55.904/-65.734/-26.072/ 7.034 ms   89 pps  0.00
[  3] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.040 ms    0/  893 (0%) -56.128/-66.147/-26.459/ 6.679 ms   89 pps  0.00
[  3] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.899 ms    0/  891 (0%) -55.910/-66.301/-24.314/ 7.275 ms   89 pps  0.00
[  3] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.644 ms    0/  892 (0%) -54.955/-66.206/-22.646/ 7.344 ms   89 pps  0.00
[  3] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.756 ms    0/  892 (0%) -53.520/-65.342/ 8.953/ 8.630 ms   89 pps  0.00
[  3] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   5.856 ms    0/  891 (0%) -54.538/-65.872/-23.580/ 7.803 ms   89 pps  0.00
[  3] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.864 ms    0/  892 (0%) -57.261/-66.113/-31.652/ 5.499 ms   89 pps  0.00
[  3] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   5.878 ms    0/  892 (0%) -55.377/-66.302/-23.915/ 7.820 ms   89 pps  0.00
[  3] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.903 ms    0/  891 (0%) -55.500/-65.887/-24.002/ 7.427 ms   89 pps  0.00
[  3] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.655 ms    0/  892 (0%) -56.546/-66.640/-23.772/ 6.878 ms   89 pps  0.00
[  3] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.112 ms    0/  892 (0%) -55.511/-66.958/-28.807/ 7.204 ms   89 pps  0.00
[  3] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.280 ms    0/  891 (0%) -56.776/-66.984/-24.267/ 6.513 ms   89 pps  0.00
[  3] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.514 ms    0/  892 (0%) -57.588/-66.999/-27.000/ 6.297 ms   89 pps  0.00
[  3] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.114 ms    0/  891 (0%) -55.493/-65.989/-23.852/ 7.789 ms   89 pps  0.00
[  3] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.163 ms    0/  892 (0%) -55.672/-66.035/-23.486/ 7.595 ms   89 pps  0.00
[  3] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.245 ms    0/  892 (0%) -56.392/-66.531/-16.767/ 7.139 ms   89 pps  0.00
[  3] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.403 ms    0/  892 (0%) -56.258/-65.750/-16.953/ 7.544 ms   89 pps  0.00
[  3] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.166 ms    0/  891 (0%) -57.561/-66.689/-27.069/ 6.102 ms   89 pps  0.00
[  3] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.261 ms    0/  892 (0%) -55.829/-66.907/-17.456/ 7.745 ms   89 pps  0.00
[  3] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.562 ms    0/  890 (0%) -56.406/-66.958/-24.871/ 7.200 ms   89 pps  0.00
[  3] 250.0000-260.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.797 ms    0/  893 (0%) -56.487/-67.482/-25.187/ 7.930 ms   89 pps  0.00
[  3] 260.0000-270.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.412 ms    0/  892 (0%) -57.205/-68.494/-24.908/ 7.468 ms   89 pps  0.00
[  3] 270.0000-280.0000 sec  1.25 MBytes  1.05 Mbits/sec   5.500 ms    0/  892 (0%) -57.379/-67.664/-25.405/ 7.167 ms   89 pps  0.00
[  3] 280.0000-290.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.693 ms    0/  889 (0%) -55.912/-66.547/-23.855/ 7.645 ms   89 pps  0.00
[  3] 290.0000-300.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.009 ms    0/  894 (0%) -56.117/-67.205/-24.174/ 7.631 ms   89 pps  0.00
[  3] 300.0000-310.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.104 ms    0/  891 (0%) -56.867/-66.891/-24.552/ 7.488 ms   89 pps  0.00
[  3] 310.0000-320.0000 sec  1.25 MBytes  1.05 Mbits/sec   5.870 ms    0/  891 (0%) -56.551/-67.429/-26.393/ 7.698 ms   89 pps  0.00
[  3] 320.0000-330.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.814 ms    0/  893 (0%) -56.838/-67.280/-25.071/ 7.789 ms   89 pps  0.00
[  3] 330.0000-340.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.941 ms    0/  891 (0%) -56.922/-67.518/-24.805/ 7.660 ms   89 pps  0.00
[  3] 340.0000-350.0000 sec  1.25 MBytes  1.05 Mbits/sec   6.261 ms    0/  892 (0%) -57.441/-68.069/-18.079/ 7.641 ms   89 pps  0.00
[  3] 350.0000-360.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.547 ms    0/  892 (0%) -57.338/-67.665/-28.117/ 7.278 ms   89 pps  0.00
[  3] 360.0000-370.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.098 ms    0/  891 (0%) -57.159/-67.967/-25.463/ 7.785 ms   89 pps  0.00
[  3] 370.0000-380.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.936 ms    0/  892 (0%) -57.114/-69.217/-25.565/ 7.490 ms   89 pps  0.00
[  3] 380.0000-390.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.256 ms    0/  892 (0%) -57.057/-67.222/-25.122/ 7.242 ms   89 pps  0.00
[  3] 390.0000-400.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.490 ms    0/  891 (0%) -57.392/-67.901/-22.855/ 7.312 ms   89 pps  0.00
[  3] 400.0000-410.0000 sec  1.25 MBytes  1.05 Mbits/sec   8.595 ms    0/  890 (0%) -57.470/-67.521/-25.056/ 7.358 ms   89 pps  0.00
[  3] 410.0000-420.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.218 ms    0/  894 (0%) -57.176/-67.829/-25.115/ 7.646 ms   89 pps  0.00
[  3] 420.0000-430.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.814 ms    0/  891 (0%) -57.793/-68.039/-25.236/ 7.358 ms   89 pps  0.00
[  3] 430.0000-440.0000 sec  1.25 MBytes  1.05 Mbits/sec   7.199 ms    0/  892 (0%) -56.704/-67.965/-25.389/ 8.558 ms   89 pps  0.00
[  3] 440.0000-450.0000 sec  1.25 MBytes  1.05 Mbits/sec   6.044 ms    0/  891 (0%) -57.895/-68.717/-28.311/ 7.692 ms   89 pps  0.00
[  3] 450.0000-460.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.623 ms    0/  892 (0%) -58.440/-68.579/-26.518/ 6.997 ms   89 pps  0.00
[  3] 460.0000-470.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.315 ms    0/  891 (0%) -57.886/-67.924/-26.507/ 7.683 ms   89 pps  0.00
[  3] 470.0000-480.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.179 ms    0/  891 (0%) -58.031/-67.998/-29.694/ 6.905 ms   89 pps  0.00
[  3] 480.0000-490.0000 sec  1.25 MBytes  1.05 Mbits/sec   6.308 ms    0/  891 (0%) -56.845/-67.711/-25.809/ 8.233 ms   89 pps  0.00
[  3] 490.0000-500.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.145 ms    0/  894 (0%) -57.074/-69.340/-25.492/ 8.411 ms   89 pps  0.00
[  3] 500.0000-510.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.402 ms    0/  891 (0%) -57.937/-68.319/-23.459/ 7.404 ms   89 pps  0.00
[  3] 510.0000-520.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.943 ms    0/  891 (0%) -58.361/-69.884/-26.244/ 7.337 ms   89 pps  0.00
[  3] 520.0000-530.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.966 ms    0/  893 (0%) -58.066/-68.641/-26.255/ 7.333 ms   89 pps  0.00
[  3] 530.0000-540.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.820 ms    0/  891 (0%) -58.986/-68.823/-25.918/ 6.587 ms   89 pps  0.00
[  3] 540.0000-550.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.379 ms    0/  889 (0%) -58.875/-68.906/-23.514/ 7.188 ms   89 pps  0.00
[  3] 550.0000-560.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.158 ms    0/  893 (0%) -58.813/-69.040/-26.658/ 6.946 ms   89 pps  0.00
[  3] 560.0000-570.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.353 ms    0/  893 (0%) -59.530/-69.320/-29.363/ 6.548 ms   89 pps  0.00
[  3] 570.0000-580.0000 sec  1.25 MBytes  1.05 Mbits/sec   6.289 ms    0/  891 (0%) -58.502/-68.631/-25.591/ 6.552 ms   89 pps  0.00
[  3] 580.0000-590.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.926 ms    0/  893 (0%) -58.360/-68.492/-26.529/ 7.452 ms   89 pps  0.00
[  3] 590.0000-600.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.653 ms    0/  891 (0%) -58.598/-68.626/-29.246/ 7.021 ms   89 pps  0.00
[  3] 600.0000-610.0000 sec  1.25 MBytes  1.05 Mbits/sec   5.386 ms    0/  892 (0%) -59.281/-69.142/-27.613/ 7.053 ms   89 pps  0.00
[  3] 610.0000-620.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.258 ms    0/  892 (0%) -59.015/-69.151/-26.736/ 7.044 ms   89 pps  0.00
[  3] 620.0000-630.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.678 ms    0/  891 (0%) -58.394/-69.421/-26.698/ 7.677 ms   89 pps  0.00
[  3] 630.0000-640.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.112 ms    0/  892 (0%) -59.634/-69.377/-26.762/ 7.145 ms   89 pps  0.00
[  3] 640.0000-650.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.312 ms    0/  892 (0%) -58.833/-69.774/-27.216/ 8.034 ms   89 pps  0.00
[  3] 650.0000-660.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.680 ms    0/  889 (0%) -59.970/-69.816/-35.248/ 6.352 ms   89 pps  0.00
[  3] 660.0000-670.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.752 ms    0/  894 (0%) -59.476/-70.091/-32.951/ 6.296 ms   89 pps  0.00
[  3] 670.0000-680.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.025 ms    0/  892 (0%) -59.417/-69.059/-26.240/ 6.255 ms   89 pps  0.00
[  3] 680.0000-690.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.103 ms    0/  891 (0%) -59.934/-69.210/-29.305/ 5.964 ms   89 pps  0.00
[  3] 690.0000-700.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.362 ms    0/  892 (0%) -59.570/-69.728/-26.972/ 7.116 ms   89 pps  0.00
[  3] 700.0000-710.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.128 ms    0/  892 (0%) -60.026/-69.917/-30.892/ 6.048 ms   89 pps  0.00
[  3] 710.0000-720.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.718 ms    0/  891 (0%) -60.025/-69.727/-30.825/ 6.573 ms   89 pps  0.00
[  3] 720.0000-730.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.519 ms    0/  892 (0%) -59.144/-69.850/-27.748/ 7.529 ms   89 pps  0.00
[  3] 730.0000-740.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.547 ms    0/  891 (0%) -60.285/-71.663/-20.177/ 6.671 ms   89 pps  0.00
[  3] 740.0000-750.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.706 ms    0/  892 (0%) -60.968/-70.161/-35.336/ 6.254 ms   89 pps  0.00
[  3] 750.0000-760.0000 sec  1.25 MBytes  1.05 Mbits/sec   5.410 ms    0/  892 (0%) -60.573/-70.130/-36.043/ 6.449 ms   89 pps  0.00
[  3] 760.0000-770.0000 sec  1.25 MBytes  1.05 Mbits/sec   7.329 ms    0/  891 (0%) -60.316/-69.483/-29.869/ 5.957 ms   89 pps  0.00
[  3] 770.0000-780.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.593 ms    0/  892 (0%) -60.025/-69.509/-26.865/ 6.691 ms   89 pps  0.00
[  3] 780.0000-790.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.238 ms    0/  891 (0%) -60.353/-70.096/-31.021/ 6.320 ms   89 pps  0.00
