# TimeStamp(s) Latency-avg(ms) Stdev
0 12.835 1.079
10 12.908 1.156
20 12.912 1.036
30 12.613 1.151
40 12.465 0.966
50 12.555 0.852
60 12.669 0.956
70 12.781 0.979
80 12.838 0.984
90 12.871 1.017
100 13.558 7.064
110 12.944 1.057
120 12.867 0.962
130 12.454 1.037
140 12.595 1.168
150 12.64 0.986
160 12.751 1.009
170 13.164 4.094
180 12.895 1.047
190 12.902 0.995
200 12.913 0.937
210 13.011 1.23
220 12.707 1.123
230 12.538 0.999
240 12.617 0.965
250 12.698 0.868
260 12.831 0.99
270 12.924 1.104
280 12.893 0.899
290 12.96 1.161
300 12.943 1.054
310 13.02 1.125
320 12.558 1.156
330 12.612 1.06
340 12.666 0.893
350 12.75 0.885
360 12.878 1.107
370 12.886 0.964
380 12.908 0.961
390 12.926 0.974
400 12.983 1.013
410 12.83 0.905
420 12.574 1.172
430 12.647 1.107
440 12.773 1.199
450 13.271 5.015
460 12.908 0.93
470 12.943 1.067
480 12.944 0.972
490 12.965 0.979
500 13.009 0.914
510 12.694 1.019
520 12.605 1.077
530 12.711 1.036
540 12.851 0.932
550 12.913 1.014
560 12.936 0.911
570 12.989 0.952
580 12.988 0.924
590 13.034 1.015
