20201018082506,192.168.67.2,5001,100.100.100.10,40420,3,0.0-10.0,1011360,809088,2.336,1099,1787,61.500,5
20201018082506,192.168.67.2,5001,100.100.100.10,49496,4,0.0-10.0,899640,719712,2.554,1174,1786,65.733,1
20201018082506,192.168.67.2,5001,100.100.100.10,55125,5,0.0-10.0,1009890,807912,2.472,1099,1786,61.534,0
20201018082506,192.168.67.2,5001,100.100.100.10,50830,6,0.0-10.0,933450,746760,2.479,1151,1786,64.446,0
20201018082506,192.168.67.2,0,100.100.100.10,0,-1,0.0-10.0,3854340,3083472,2.554,4523,7145,63.303,6
20201018082516,192.168.67.2,5001,100.100.100.10,40420,3,10.0-20.0,0,0,2.336,0,0,-nan,0
20201018082516,192.168.67.2,5001,100.100.100.10,49496,4,10.0-20.0,0,0,2.554,0,0,-nan,0
20201018082516,192.168.67.2,5001,100.100.100.10,55125,5,10.0-20.0,0,0,2.472,0,0,-nan,0
20201018082516,192.168.67.2,5001,100.100.100.10,50830,6,10.0-20.0,0,0,2.479,0,0,-nan,0
20201018082516,192.168.67.2,0,100.100.100.10,0,-1,10.0-20.0,0,0,2.554,0,0,-nan,0
20201018082526,192.168.67.2,5001,100.100.100.10,40420,3,20.0-30.0,0,0,2.336,0,0,-nan,0
20201018082526,192.168.67.2,5001,100.100.100.10,49496,4,20.0-30.0,0,0,2.554,0,0,-nan,0
20201018082526,192.168.67.2,5001,100.100.100.10,55125,5,20.0-30.0,0,0,2.472,0,0,-nan,0
20201018082526,192.168.67.2,5001,100.100.100.10,50830,6,20.0-30.0,0,0,2.479,0,0,-nan,0
20201018082526,192.168.67.2,0,100.100.100.10,0,-1,20.0-30.0,0,0,2.554,0,0,-nan,0
20201018082537,192.168.67.2,5001,100.100.100.10,40420,3,30.0-40.0,0,0,2.336,0,0,-nan,0
20201018082537,192.168.67.2,5001,100.100.100.10,49496,4,30.0-40.0,0,0,2.554,0,0,-nan,0
20201018082537,192.168.67.2,5001,100.100.100.10,55125,5,30.0-40.0,0,0,2.472,0,0,-nan,0
20201018082537,192.168.67.2,5001,100.100.100.10,50830,6,30.0-40.0,0,0,2.479,0,0,-nan,0
20201018082537,192.168.67.2,0,100.100.100.10,0,-1,30.0-40.0,0,0,2.554,0,0,-nan,0
20201018082547,192.168.67.2,5001,100.100.100.10,40420,3,40.0-50.0,0,0,2.336,0,0,-nan,0
20201018082547,192.168.67.2,5001,100.100.100.10,49496,4,40.0-50.0,0,0,2.554,0,0,-nan,0
20201018082547,192.168.67.2,5001,100.100.100.10,55125,5,40.0-50.0,0,0,2.472,0,0,-nan,0
20201018082547,192.168.67.2,5001,100.100.100.10,50830,6,40.0-50.0,0,0,2.479,0,0,-nan,0
20201018082547,192.168.67.2,0,100.100.100.10,0,-1,40.0-50.0,0,0,2.554,0,0,-nan,0
20201018082557,192.168.67.2,5001,100.100.100.10,40420,3,50.0-60.0,0,0,2.336,0,0,-nan,0
20201018082557,192.168.67.2,5001,100.100.100.10,49496,4,50.0-60.0,0,0,2.554,0,0,-nan,0
20201018082557,192.168.67.2,5001,100.100.100.10,55125,5,50.0-60.0,0,0,2.472,0,0,-nan,0
20201018082557,192.168.67.2,5001,100.100.100.10,50830,6,50.0-60.0,0,0,2.479,0,0,-nan,0
20201018082557,192.168.67.2,0,100.100.100.10,0,-1,50.0-60.0,0,0,2.554,0,0,-nan,0
