20201017234635,192.168.67.6,5001,100.100.100.10,36116,4,200.0-210.0,6689872,5351897
20201017234635,192.168.67.6,0,100.100.100.10,0,-1,200.0-210.0,15155896,12124716
20201017234645,192.168.67.6,5001,100.100.100.10,36118,5,210.0-220.0,7974008,6379206
20201017234645,192.168.67.6,5001,100.100.100.10,36116,4,210.0-220.0,8281840,6625472
20201017234645,192.168.67.6,0,100.100.100.10,0,-1,210.0-220.0,16255848,13004678
20201017234655,192.168.67.6,5001,100.100.100.10,36118,5,220.0-230.0,8618008,6894406
20201017234655,192.168.67.6,5001,100.100.100.10,36116,4,220.0-230.0,6710480,5368384
20201017234655,192.168.67.6,0,100.100.100.10,0,-1,220.0-230.0,15328488,12262790
20201017234705,192.168.67.6,5001,100.100.100.10,36118,5,230.0-240.0,8861440,7089152
20201017234705,192.168.67.6,5001,100.100.100.10,36116,4,230.0-240.0,7557984,6046387
20201017234705,192.168.67.6,0,100.100.100.10,0,-1,230.0-240.0,16419424,13135539
20201017234715,192.168.67.6,5001,100.100.100.10,36118,5,240.0-250.0,7995904,6396723
20201017234715,192.168.67.6,5001,100.100.100.10,36116,4,240.0-250.0,7245000,5796000
20201017234715,192.168.67.6,0,100.100.100.10,0,-1,240.0-250.0,15240904,12192723
20201017234725,192.168.67.6,5001,100.100.100.10,36118,5,250.0-260.0,7377664,5902131
20201017234725,192.168.67.6,5001,100.100.100.10,36116,4,250.0-260.0,7333872,5867097
20201017234725,192.168.67.6,0,100.100.100.10,0,-1,250.0-260.0,14711536,11769228
20201017234735,192.168.67.6,5001,100.100.100.10,36118,5,260.0-270.0,6454168,5163334
20201017234735,192.168.67.6,5001,100.100.100.10,36116,4,260.0-270.0,8477616,6782092
20201017234735,192.168.67.6,0,100.100.100.10,0,-1,260.0-270.0,14931784,11945427
20201017234745,192.168.67.6,5001,100.100.100.10,36118,5,270.0-280.0,8056440,6445152
20201017234745,192.168.67.6,5001,100.100.100.10,36116,4,270.0-280.0,7967568,6374054
20201017234745,192.168.67.6,0,100.100.100.10,0,-1,270.0-280.0,16024008,12819206
20201017234755,192.168.67.6,5001,100.100.100.10,36118,5,280.0-290.0,8289568,6631654
20201017234755,192.168.67.6,5001,100.100.100.10,36116,4,280.0-290.0,7017024,5613619
20201017234755,192.168.67.6,0,100.100.100.10,0,-1,280.0-290.0,15306592,12245273
20201017234805,192.168.67.6,5001,100.100.100.10,36116,4,290.0-300.0,7447216,5957772
20201017234805,192.168.67.6,5001,100.100.100.10,36118,5,290.0-300.0,7891576,6313260
20201017234805,192.168.67.6,0,100.100.100.10,0,-1,290.0-300.0,15338792,12271033
20201017234815,192.168.67.6,5001,100.100.100.10,36118,5,300.0-310.0,8164632,6531705
20201017234815,192.168.67.6,5001,100.100.100.10,36116,4,300.0-310.0,6935880,5548704
20201017234815,192.168.67.6,0,100.100.100.10,0,-1,300.0-310.0,15100512,12080409
20201017234825,192.168.67.6,5001,100.100.100.10,36118,5,310.0-320.0,6902392,5521913
20201017234825,192.168.67.6,5001,100.100.100.10,36116,4,310.0-320.0,7492296,5993836
20201017234825,192.168.67.6,0,100.100.100.10,0,-1,310.0-320.0,14394688,11515750
20201017234835,192.168.67.6,5001,100.100.100.10,36118,5,320.0-330.0,7971432,6377145
20201017234835,192.168.67.6,5001,100.100.100.10,36116,4,320.0-330.0,7233408,5786726
20201017234835,192.168.67.6,0,100.100.100.10,0,-1,320.0-330.0,15204840,12163872
20201017234845,192.168.67.6,5001,100.100.100.10,36118,5,330.0-340.0,7671328,6137062
20201017234845,192.168.67.6,5001,100.100.100.10,36116,4,330.0-340.0,7971432,6377145
20201017234845,192.168.67.6,0,100.100.100.10,0,-1,330.0-340.0,15642760,12514208
20201017234855,192.168.67.6,5001,100.100.100.10,36118,5,340.0-350.0,6607440,5285952
20201017234855,192.168.67.6,5001,100.100.100.10,36116,4,340.0-350.0,8648920,6919136
20201017234855,192.168.67.6,0,100.100.100.10,0,-1,340.0-350.0,15256360,12205088
20201017234905,192.168.67.6,5001,100.100.100.10,36118,5,350.0-360.0,8521408,6817126
20201017234905,192.168.67.6,5001,100.100.100.10,36116,4,350.0-360.0,7416304,5933043
20201017234905,192.168.67.6,0,100.100.100.10,0,-1,350.0-360.0,15937712,12750169
20201017234915,192.168.67.6,5001,100.100.100.10,36118,5,360.0-370.0,7498736,5998988
20201017234915,192.168.67.6,5001,100.100.100.10,36116,4,360.0-370.0,6870192,5496153
20201017234915,192.168.67.6,0,100.100.100.10,0,-1,360.0-370.0,14368928,11495142
20201017234925,192.168.67.6,5001,100.100.100.10,36118,5,370.0-380.0,7676480,6141184
20201017234925,192.168.67.6,5001,100.100.100.10,36116,4,370.0-380.0,8200696,6560556
20201017234925,192.168.67.6,0,100.100.100.10,0,-1,370.0-380.0,15877176,12701740
20201017234935,192.168.67.6,5001,100.100.100.10,36118,5,380.0-390.0,7618520,6094816
20201017234935,192.168.67.6,5001,100.100.100.10,36116,4,380.0-390.0,7603064,6082451
20201017234935,192.168.67.6,0,100.100.100.10,0,-1,380.0-390.0,15221584,12177267
20201017234945,192.168.67.6,5001,100.100.100.10,36118,5,390.0-400.0,7015736,5612588
20201017234945,192.168.67.6,5001,100.100.100.10,36116,4,390.0-400.0,7927640,6342112
20201017234945,192.168.67.6,0,100.100.100.10,0,-1,390.0-400.0,14943376,11954700
20201017234955,192.168.67.6,5001,100.100.100.10,36118,5,400.0-410.0,6835416,5468332
20201017234955,192.168.67.6,5001,100.100.100.10,36116,4,400.0-410.0,8417080,6733664
20201017234955,192.168.67.6,0,100.100.100.10,0,-1,400.0-410.0,15252496,12201996
20201017235005,192.168.67.6,5001,100.100.100.10,36118,5,410.0-420.0,7829752,6263801
20201017235005,192.168.67.6,5001,100.100.100.10,36116,4,410.0-420.0,7583744,6066995
20201017235005,192.168.67.6,0,100.100.100.10,0,-1,410.0-420.0,15413496,12330796
20201017235015,192.168.67.6,5001,100.100.100.10,36118,5,420.0-430.0,7713832,6171065
20201017235015,192.168.67.6,5001,100.100.100.10,36116,4,420.0-430.0,6993840,5595072
20201017235015,192.168.67.6,0,100.100.100.10,0,-1,420.0-430.0,14707672,11766137
20201017235025,192.168.67.6,5001,100.100.100.10,36118,5,430.0-440.0,7439488,5951590
20201017235025,192.168.67.6,5001,100.100.100.10,36116,4,430.0-440.0,6706616,5365292
20201017235025,192.168.67.6,0,100.100.100.10,0,-1,430.0-440.0,14146104,11316883
20201017235035,192.168.67.6,5001,100.100.100.10,36118,5,440.0-450.0,9520896,7616716
20201017235035,192.168.67.6,5001,100.100.100.10,36116,4,440.0-450.0,7427896,5942316
20201017235035,192.168.67.6,0,100.100.100.10,0,-1,440.0-450.0,16948792,13559033
20201017235045,192.168.67.6,5001,100.100.100.10,36118,5,450.0-460.0,7883848,6307078
20201017235045,192.168.67.6,5001,100.100.100.10,36116,4,450.0-460.0,7919912,6335929
20201017235045,192.168.67.6,0,100.100.100.10,0,-1,450.0-460.0,15803760,12643008
20201017235055,192.168.67.6,5001,100.100.100.10,36118,5,460.0-470.0,6673128,5338502
20201017235055,192.168.67.6,5001,100.100.100.10,36116,4,460.0-470.0,7371224,5896979
20201017235055,192.168.67.6,0,100.100.100.10,0,-1,460.0-470.0,14044352,11235481
20201017235105,192.168.67.6,5001,100.100.100.10,36118,5,470.0-480.0,7300384,5840307
20201017235105,192.168.67.6,5001,100.100.100.10,36116,4,470.0-480.0,8168496,6534796
20201017235105,192.168.67.6,0,100.100.100.10,0,-1,470.0-480.0,15468880,12375104
20201017235115,192.168.67.6,5001,100.100.100.10,36118,5,480.0-490.0,8487920,6790336
20201017235115,192.168.67.6,5001,100.100.100.10,36116,4,480.0-490.0,7595336,6076268
20201017235115,192.168.67.6,0,100.100.100.10,0,-1,480.0-490.0,16083256,12866604
20201017235125,192.168.67.6,5001,100.100.100.10,36118,5,490.0-500.0,7223104,5778483
20201017235125,192.168.67.6,5001,100.100.100.10,36116,4,490.0-500.0,8945160,7156128
20201017235125,192.168.67.6,0,100.100.100.10,0,-1,490.0-500.0,16168264,12934611
20201017235135,192.168.67.6,5001,100.100.100.10,36118,5,500.0-510.0,7534800,6027840
20201017235135,192.168.67.6,5001,100.100.100.10,36116,4,500.0-510.0,7564424,6051539
20201017235135,192.168.67.6,0,100.100.100.10,0,-1,500.0-510.0,15099224,12079379
20201017235145,192.168.67.6,5001,100.100.100.10,36118,5,510.0-520.0,7661024,6128819
20201017235145,192.168.67.6,5001,100.100.100.10,36116,4,510.0-520.0,6850872,5480697
20201017235145,192.168.67.6,0,100.100.100.10,0,-1,510.0-520.0,14511896,11609516
20201017235155,192.168.67.6,5001,100.100.100.10,36118,5,520.0-530.0,7699664,6159731
20201017235155,192.168.67.6,5001,100.100.100.10,36116,4,520.0-530.0,7601776,6081420
20201017235155,192.168.67.6,0,100.100.100.10,0,-1,520.0-530.0,15301440,12241152
20201017235205,192.168.67.6,5001,100.100.100.10,36118,5,530.0-540.0,8444128,6755302
20201017235205,192.168.67.6,5001,100.100.100.10,36116,4,530.0-540.0,9048200,7238560
20201017235205,192.168.67.6,0,100.100.100.10,0,-1,530.0-540.0,17492328,13993862
20201017235215,192.168.67.6,5001,100.100.100.10,36118,5,540.0-550.0,7612080,6089664
20201017235215,192.168.67.6,5001,100.100.100.10,36116,4,540.0-550.0,7214088,5771270
20201017235215,192.168.67.6,0,100.100.100.10,0,-1,540.0-550.0,14826168,11860934
20201017235225,192.168.67.6,5001,100.100.100.10,36118,5,550.0-560.0,7413728,5930982
20201017235225,192.168.67.6,5001,100.100.100.10,36116,4,550.0-560.0,8691424,6953139
20201017235225,192.168.67.6,0,100.100.100.10,0,-1,550.0-560.0,16105152,12884121
20201017235235,192.168.67.6,5001,100.100.100.10,36118,5,560.0-570.0,8535576,6828460
20201017235235,192.168.67.6,5001,100.100.100.10,36116,4,560.0-570.0,7111048,5688838
20201017235235,192.168.67.6,0,100.100.100.10,0,-1,560.0-570.0,15646624,12517299
20201017235245,192.168.67.6,5001,100.100.100.10,36118,5,570.0-580.0,7341600,5873280
20201017235245,192.168.67.6,5001,100.100.100.10,36116,4,570.0-580.0,7828464,6262771
20201017235245,192.168.67.6,0,100.100.100.10,0,-1,570.0-580.0,15170064,12136051
20201017235255,192.168.67.6,5001,100.100.100.10,36118,5,580.0-590.0,6845720,5476576
20201017235255,192.168.67.6,5001,100.100.100.10,36116,4,580.0-590.0,9271024,7416819
20201017235255,192.168.67.6,0,100.100.100.10,0,-1,580.0-590.0,16116744,12893395
20201017235305,192.168.67.6,5001,100.100.100.10,36116,4,590.0-600.0,6769728,5415782
20201017235305,192.168.67.6,5001,100.100.100.10,36118,5,590.0-600.0,8638616,6910892
20201017235305,192.168.67.6,0,100.100.100.10,0,-1,590.0-600.0,15408344,12326675
20201017235306,192.168.67.6,5001,100.100.100.10,36118,5,0.0-601.3,465305600,6191017
20201017235306,192.168.67.6,5001,100.100.100.10,36116,4,0.0-601.3,463994880,6173487
20201017235306,192.168.67.6,0,100.100.100.10,0,-1,0.0-601.3,929300480,12364414
