{'Time_STAMP': '2020-11-27 17:33:42', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.36', 'U_RMS_A': '230.49', 'U_RMS_B': '230.51', 'U_RMS_C': '227.08', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.77', 'S_RMS_A': '189.35', 'S_RMS_B': '45.29', 'S_RMS_C': '1311.3', 'T_IGBT': '45.5', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:43', 'CEI_ID': '1', 'U_DC': '787.9', 'I_DC': '1.35', 'U_RMS_A': '230.45', 'U_RMS_B': '230.5', 'U_RMS_C': '227.11', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.78', 'S_RMS_A': '187.78', 'S_RMS_B': '45.21', 'S_RMS_C': '1311.86', 'T_IGBT': '45.4', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:44', 'CEI_ID': '1', 'U_DC': '787.9', 'I_DC': '1.35', 'U_RMS_A': '230.45', 'U_RMS_B': '230.5', 'U_RMS_C': '227.11', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.78', 'S_RMS_A': '187.78', 'S_RMS_B': '45.21', 'S_RMS_C': '1311.86', 'T_IGBT': '45.4', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:45', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.37', 'U_RMS_A': '230.46', 'U_RMS_B': '230.51', 'U_RMS_C': '227.09', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.86', 'S_RMS_A': '187.62', 'S_RMS_B': '45.57', 'S_RMS_C': '1329.95', 'T_IGBT': '45.4', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:46', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.37', 'U_RMS_A': '230.46', 'U_RMS_B': '230.51', 'U_RMS_C': '227.09', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.86', 'S_RMS_A': '187.62', 'S_RMS_B': '45.57', 'S_RMS_C': '1329.95', 'T_IGBT': '45.4', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:47', 'CEI_ID': '1', 'U_DC': '787.7', 'I_DC': '1.5', 'U_RMS_A': '230.18', 'U_RMS_B': '230.56', 'U_RMS_C': '227.24', 'I_RMS_A': '1.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.88', 'S_RMS_A': '419.31', 'S_RMS_B': '45.8', 'S_RMS_C': '1336.89', 'T_IGBT': '45.3', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:48', 'CEI_ID': '1', 'U_DC': '787.7', 'I_DC': '1.5', 'U_RMS_A': '230.18', 'U_RMS_B': '230.56', 'U_RMS_C': '227.24', 'I_RMS_A': '1.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.88', 'S_RMS_A': '419.31', 'S_RMS_B': '45.8', 'S_RMS_C': '1336.89', 'T_IGBT': '45.3', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:49', 'CEI_ID': '1', 'U_DC': '787.1', 'I_DC': '2.49', 'U_RMS_A': '228.13', 'U_RMS_B': '231.31', 'U_RMS_C': '228.58', 'I_RMS_A': '5.08', 'I_RMS_B': '0.21', 'I_RMS_C': '5.74', 'S_RMS_A': '1159.59', 'S_RMS_B': '47.6', 'S_RMS_C': '1312.11', 'T_IGBT': '45.3', 'T_AMBIENT': '18.9', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:50', 'CEI_ID': '1', 'U_DC': '787.1', 'I_DC': '2.49', 'U_RMS_A': '228.13', 'U_RMS_B': '231.31', 'U_RMS_C': '228.58', 'I_RMS_A': '5.08', 'I_RMS_B': '0.21', 'I_RMS_C': '5.74', 'S_RMS_A': '1159.59', 'S_RMS_B': '47.6', 'S_RMS_C': '1312.11', 'T_IGBT': '45.3', 'T_AMBIENT': '18.9', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:51', 'CEI_ID': '1', 'U_DC': '787', 'I_DC': '2.47', 'U_RMS_A': '228.1', 'U_RMS_B': '231.28', 'U_RMS_C': '228.55', 'I_RMS_A': '5.08', 'I_RMS_B': '0.21', 'I_RMS_C': '5.68', 'S_RMS_A': '1158.96', 'S_RMS_B': '47.57', 'S_RMS_C': '1298.2', 'T_IGBT': '45.4', 'T_AMBIENT': '18.9', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
